PostingDate,PostingDate1,Transaction,MerchantName,TransactionAmount,AmountNumber,ExplanationCategory
2015-03-27T00:00:00Z,20150327,20150327_BROXAP_LTD_7584,BROXAP_LTD,758.4,7584,Items for offender workshops+industries
2015-03-26T00:00:00Z,20150326,20150326_SCREWFIX_DIRECT_82288,SCREWFIX_DIRECT,822.88,82288,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_ALEXANDER_BROWN_AND_CO_166919,ALEXANDER_BROWN_AND_CO,1669.19,166919,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_ALEXANDER_BROWN_AND_CO_15000,ALEXANDER_BROWN_AND_CO,1500.0,15000,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-09-03T00:00:00Z,20150903,20150903_MOORE_LARGE_66975,MOORE_LARGE,669.75,66975,Educational+Learning+Training-Equipment or Supplies
2015-03-16T00:00:00Z,20150316,20150316_PC_WORLD_83997,PC_WORLD,839.97,83997,Educational+Learning+Training-Equipment or Supplies
2015-03-16T00:00:00Z,20150316,20150316_EDMUDNSON_ELECTRICAL_83858,EDMUDNSON_ELECTRICAL,838.58,83858,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_PANTILES_TROPHIES_6325,PANTILES_TROPHIES,632.5,6325,Staff-Reward and recognition
2015-03-18T00:00:00Z,20150318,20150318_NAS_7560,NAS,756.0,7560,Staff Training
2015-04-03T00:00:00Z,20150403,20150403_DARWIN_VETERINARY_CENT_58921,DARWIN_VETERINARY_CENT,589.21,58921,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-03-16T00:00:00Z,20150316,20150316_CENTRAL_SOURCE_LTD_7200,CENTRAL_SOURCE_LTD,720.0,7200,Estates-Services for Building+Electrical+Plumbing
2015-03-16T00:00:00Z,20150316,20150316_SHELVINGSTORE_68648,SHELVINGSTORE,686.48,68648,Office Supplies
2015-03-31T00:00:00Z,20150331,20150331_Amazon_Svcs_Europe_9660,Amazon_Svcs_Europe,966.0,9660,Educational+Learning+Training-Equipment or Supplies
2015-03-30T00:00:00Z,20150330,20150330_SCREWFIX_DIRECT_67578,SCREWFIX_DIRECT,675.78,67578,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_GEAR4MUSIC_83613,GEAR4MUSIC,836.13,83613,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_DV247_LIMITED_9750,DV247_LIMITED,975.0,9750,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_GAK_99597,GAK,995.97,99597,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_SCREWFIX_DIRECT_97996,SCREWFIX_DIRECT,979.96,97996,Educational+Learning+Training-Equipment or Supplies
