projectRcn,projectID,participationId,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode
201304,705217,705217999466467,UPR,partner,999466467,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,HES,false,,US,SERRA MALL 450,STANFORD,94305 2004
201304,705217,705217999985708,UPR,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,162864.6,NL,SPUI 21,AMSTERDAM,1012WX
215046,792202,792202999985708,LOFUPRO,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,165598.8,NL,SPUI 21,AMSTERDAM,1012WX
193633,639217,639217999985708,CSINEUTRONSTAR,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1499999,NL,SPUI 21,AMSTERDAM,1012WX
225067,841188,841188999985708,AAT,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,175572.48,NL,SPUI 21,AMSTERDAM,1012WX
195250,656333,656333999985708,PEACEFUL MIND,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,177598.8,NL,SPUI 21,AMSTERDAM,1012WX
230777,956107,956107999991043,EPOC,participant,999991043,KOBENHAVNS UNIVERSITET,UCPH,HES,false,595044,DK,NORREGADE 10,KOBENHAVN,1165
230777,956107,956107999897341,EPOC,participant,999897341,UNIVERSITA CA' FOSCARI VENEZIA,UNIVE,HES,false,522999.36,IT,DORSODURO 3246,VENEZIA,30123
230777,956107,956107999859123,EPOC,participant,999859123,UNIVERSITE PARIS I PANTHEONSORBONNE,UP1,HES,false,549604.08,FR,Place du Pantheon 12,PARIS,75231
230777,956107,956107999986484,EPOC,participant,999986484,UNIVERSIDAD AUTONOMA DE BARCELONA,UAB,HES,false,501809.76,ES,CALLE CAMPUS UNIVERSITARIO SN CERDANYOLA V,CERDANYOLA DEL VALLES,08290
230777,956107,956107999854370,EPOC,coordinator,999854370,UNIVERSITAET BIELEFELD,UNIBI,HES,false,758365.2,DE,UNIVERSITAETSSTRASSE 25,BIELEFELD,33615
230777,956107,956107999915771,EPOC,participant,999915771,UNIVERSITA CATTOLICA DEL SACRO CUORE,UCSC,HES,false,522999.36,IT,LARGO GEMELLI 1,MILANO,20123
230777,956107,956107999985708,EPOC,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,531239.76,NL,SPUI 21,AMSTERDAM,1012WX
226057,852990,852990999985708,N-EXTLAW,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1498733,NL,SPUI 21,AMSTERDAM,1012WX
225599,853394,853394999975426,ALPHA,participant,999975426,UNIVERSITY OF LEEDS,UNIVLEEDS,HES,false,109695.66,UK,WOODHOUSE LANE,LEEDS,LS2 9JT
225599,853394,853394999985708,ALPHA,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1371682.34,NL,SPUI 21,AMSTERDAM,1012WX
229284,897004,897004999466467,ISLand,partner,999466467,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,HES,false,,US,SERRA MALL 450,STANFORD,94305 2004
229284,897004,897004999985708,ISLand,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,253052.16,NL,SPUI 21,AMSTERDAM,1012WX
227898,892314,892314999985708,REWA,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,175572.48,NL,SPUI 21,AMSTERDAM,1012WX
193691,640159,640159999985708,MST,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1256624,NL,SPUI 21,AMSTERDAM,1012WX
197492,647209,647209999985708,Psychosystems,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1959690,NL,SPUI 21,AMSTERDAM,1012WX
218672,813547,813547999848938,MIDA,participant,999848938,PHILIPPS UNIVERSITAET MARBURG,UMR,HES,false,252788.4,DE,BIEGENSTRASSE 10,MARBURG,35037
218672,813547,813547999974553,MIDA,participant,999974553,UNIVERSITEIT LEIDEN,ULEI,HES,false,265619.88,NL,RAPENBURG 70,LEIDEN,2311 EZ
218672,813547,813547909019011,MIDA,partner,909019011,RUCKRIEM PHILIPP,PS - Media & Consulting,PRC,false,,DE,SCHLIEMANNSTR. 45,BERLIN,10437
218672,813547,813547954530344,MIDA,participant,954530344,STICHTING VU,STICHTING VU,HES,false,265619.88,NL,DE BOELELAAN 1105,AMSTERDAM,1081 HV
218672,813547,813547999992110,MIDA,participant,999992110,STICHTING KATHOLIEKE UNIVERSITEIT,RUMC,HES,false,265619.88,NL,GEERT GROOTEPLEIN NOORD 9,NIJMEGEN,6525 EZ
218672,813547,813547999882015,MIDA,partner,999882015,UNIVERSIDAD DE GRANADA,UGR,HES,false,,ES,CUESTA DEL HOSPICIO SN,GRANADA,18071
218672,813547,813547999991722,MIDA,participant,999991722,AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS,CSIC,REC,false,752714.64,ES,CALLE SERRANO 117,MADRID,28006
218672,813547,813547999859123,MIDA,partner,999859123,UNIVERSITE PARIS I PANTHEONSORBONNE,UP1,HES,false,,FR,Place du Pantheon 12,PARIS,75231
218672,813547,813547968268454,MIDA,partner,968268454,KONINKLIJKE BRILL NV,KONINKLIJKE BRILL NV,PRC,false,,NL,PLANTIJNSTRAAT 2,LEIDEN,2321 JC
218672,813547,813547995549995,MIDA,partner,995549995,UNIVERZITET U SARAJEVU,UNSA,HES,false,,BA,OBALA KULINA BANA 7,SARAJEVO,71000
218672,813547,813547951097029,MIDA,partner,951097029,STICHTING NATIONAAL MUSEUM VAN WERELDCULTUREN,SNMW,REC,false,,NL,STEENSTRAAT 1,LEIDEN,2312 BS
218672,813547,813547999986387,MIDA,partner,999986387,UNIVERSITAT DE BARCELONA,UB,HES,false,,ES,GRAN VIA DE LES CORTS CATALANES 585,BARCELONA,08007
218672,813547,813547999565310,MIDA,participant,999565310,GERMAN INSTITUTE FOR GLOBAL AND AREA STUDIES (GIGA),LEIBNIZ INSTITUT FUR GLOBALE UND REGIONALE STUDIEN,REC,false,252788.4,DE,NEUER JUNGFERNSTIEG 21,HAMBURG,20354
218672,813547,813547915509475,MIDA,participant,915509475,FONDACIJA KULTURNO NASLIJEDE BEZ GRANICA,CHwB,OTH,false,219826.8,BA,UL. KRALJA TVRTKA BROJ 7,SARAJEVO,71000
218672,813547,813547999510117,MIDA,partner,999510117,ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,EHESS,HES,false,,FR,54 BD RASPAIL,PARIS 6,75270
218672,813547,813547999861354,MIDA,partner,999861354,UNIVERSIDAD AUTONOMA DE MADRID,UAM,HES,false,,ES,CALLE EINSTEIN 3 CIUDAD UNIV CANTOBLANCO RECTORADO,MADRID,28049
218672,813547,813547918141473,MIDA,partner,918141473,CENTRE NATIONAL D'ART ET DE CULTURE GEORGESPOMPIDOU,Centre Pompidou,PUB,false,,FR,120 RUE SAINT MARTIN,PARIS CEDEX 04,75191
218672,813547,813547999513803,MIDA,participant,999513803,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,IRD,REC,false,274802.04,FR,BOULEVARD DE DUNKERQUE 44 CS 90009,MARSEILLE,13572
218672,813547,813547999997930,MIDA,coordinator,999997930,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,REC,false,549604.08,FR,RUE MICHEL ANGE 3,PARIS,75794
218672,813547,813547999991334,MIDA,participant,999991334,KATHOLIEKE UNIVERSITEIT LEUVEN,KU Leuven,HES,false,256320,BE,OUDE MARKT 13,LEUVEN,3000
218672,813547,813547999994826,MIDA,participant,999994826,FREIE UNIVERSITAET BERLIN,Freie Universitaet Berlin,HES,false,252788.4,DE,KAISERSWERTHER STRASSE 16-18,BERLIN,14195
