projectId,projectAcronym,fundingScheme,organizationId,title,firstName,fullName,lastName
650216,OntoPerson,MSCA-IF,999598678,DR,Mariusz,Mariusz Grygianiec,Grygianiec
652745,AUTOOLIGO,MSCA-IF,999990267,MS,Petra,Petra Menova,Menova
652755,MOLECOPS,MSCA-IF,99998435,DR,Julien,Julien Brachet,Brachet
652757,ARCGATE,MSCA-IF,999497507,DR,Takamasa,Takamasa Tsubouchi,Tsubouchi
652782,FOSICAV,MSCA-IF,999844864,DR,Thomas,Thomas Dedieu,Dedieu
652837,ISOTOP,MSCA-IF,999905101,DR,Benno,Benno Rem,Rem
652856,CLEANLIB,MSCA-IF,999991722,DR,Hervé,Hervé Baudry,Baudry
652862,IMPRECSIM,MSCA-IF,999988812,DR,Darius,Darius Markauskas,Markauskas
652871,FIBERSTAR,MSCA-IF,999899572,DR,Daniele,Daniele Tosi,Tosi
652890,EMTECS,MSCA-IF,999974262,DR,Yahui,Yahui Wang,Wang
652925,MIGRANTCHRISTIANITY,MSCA-IF,999902385,DR,Francesca,Francesca Scrinzi,Scrinzi
652938,TELE,MSCA-IF,999838074,DR,Eleftherios,Eleftherios Giovanis,Giovanis
652965,Bio-Strategies,MSCA-IF,999642037,DR,Araceli,Araceli Perez-Sanz,Perez-Sanz
652978,LIAGAN,MSCA-IF,909875521,PROF,Atinati,Atinati Mamatsashvili-Kobakhidze,Mamatsashvili-Kobakhidze
652978,LIAGAN,MSCA-IF,998096051,PROF,Atinati,Atinati Mamatsashvili-Kobakhidze,Mamatsashvili-Kobakhidze
652986,STEMCELLTRACK,MSCA-IF,99998435,DR,Christakis,Christakis Constantinides,Constantinides
652999,COMBPDCHEMOTHERAPY,MSCA-IF,903730668,DR,Marta Erminia,Marta Erminia Alberto,Alberto
652999,COMBPDCHEMOTHERAPY,MSCA-IF,997732592,DR,Marta Erminia,Marta Erminia Alberto,Alberto
653019,CEREBSENSING,MSCA-IF,999882015,DR,Jesus,Jesus Garrido,Garrido
653040,CONFAM,MSCA-IF,999841275,DR,Mariano,Mariano Croce,Croce
653056,EMEHOC,MSCA-IF,99997562,DR,María José,María José Frápolli,Frápolli
653066,PGE-PLANETS,MSCA-IF,99986601,DR,Amy,Amy Riches,Riches
653184,MPerS,MSCA-IF,99998435,DR,Pabitra Kumar,Pabitra Kumar Nayak,Nayak
653188,GLASS,MSCA-IF,999994826,DR,Anna,Anna Hodgkinson,Hodgkinson
653216,MICEXPRESS,MSCA-IF,999974941,DR,Noelia,Noelia Ibáñez,Ibáñez
653223,USIFlux,MSCA-IF,999993274,DR,Teresa,Teresa Gimeno,Gimeno
653240,STRESSAGED,MSCA-IF,999990267,DR,Antonios,Antonios Zannas,Zannas
653241,OMNICS,MSCA-IF,999991043,DR,Yi,Yi Yang,Yang
653284,GelSwimming,MSCA-IF,99998435,DR,Andreas,Andreas Zoettl,Zoettl
653285,METACLOAK,MSCA-IF,999993468,DR,Andrea,Andrea Colombi,Colombi
653354,CERAM,MSCA-IF,999978336,DR,Miriam,Miriam Cubas,Cubas
653412,Flex-ON,MSCA-IF,999977754,MR,Fernando,Fernando Guiomar,Guiomar
653413,INNOVATIONOPTIONS,MSCA-IF,998096827,PROF,Lenos,Lenos Trigeorgis,Trigeorgis
653413,INNOVATIONOPTIONS,MSCA-IF,999981052,PROF,Lenos,Lenos Trigeorgis,Trigeorgis
653434,MitSyn,MSCA-IF,99997562,DR,Nicoletta,Nicoletta Plotegher,Plotegher
653443,FUDOGE,MSCA-IF,999994826,DR,Maiko,Maiko Favaro,Favaro
653508,Phil-Threats,MSCA-IF,999991722,DR,Eberhard,Eberhard Crailsheim,Crailsheim
653639,KMET-READ,MSCA-IF,999974747,DR,Agnieszka,Agnieszka Rawłuszko-Wieczorek,Rawłuszko-Wieczorek
653667,REAPPAST,MSCA-IF,967062453,DR,Francesca,Francesca Romagnoli,Romagnoli
653697,CP-FunMoD,MSCA-IF,999841954,DR,Jodie,Jodie Davies-Thompson,Davies-Thompson
653697,CP-FunMoD,MSCA-IF,999976978,DR,Jodie,Jodie Davies-Thompson,Davies-Thompson
653750,CIP,MSCA-IF,99987862,DR,Sibylle,Sibylle Petersen,Petersen
653784,OrganoMag,MSCA-IF,99990384,DR,Fu-Sheng,Fu-Sheng Guo,Guo
653846,Fractional,MSCA-IF,99946734,DR,Adolfo,Adolfo González Grushin,González Grushin
653846,Fractional,MSCA-IF,99998435,DR,Adolfo,Adolfo González Grushin,González Grushin
653846,Fractional,MSCA-IF,99999793,DR,Adolfo,Adolfo González Grushin,González Grushin
653943,Moments,MSCA-IF,999861451,DR,Zoltan,Zoltan Leka,Leka
653950,URBANCO2FLUX,MSCA-IF,99946734,DR,Gara,Gara Villalba,Villalba
653950,URBANCO2FLUX,MSCA-IF,999986484,DR,Gara,Gara Villalba,Villalba
653957,DEVOLEMPA,MSCA-IF,999994535,DR,Sonja,Sonja Koski,Koski
653963,Aggregation selection,MSCA-IF,906446474,DR,Greet,Greet De Baets,De Baets
653963,Aggregation selection,MSCA-IF,99999017,DR,Greet,Greet De Baets,De Baets
653997,PRDM9Recomb,MSCA-IF,999977172,DR,Ericca,Ericca Stamper,Stamper
654006,SalHyd5,MSCA-IF,999975523,DR,Marta,Marta Albareda Contreras,Albareda Contreras
654019,OTULINVIVO,MSCA-IF,906446474,DR,Rune Busk,Rune Busk Damgaard,Damgaard
654019,OTULINVIVO,MSCA-IF,99999017,DR,Rune Busk,Rune Busk Damgaard,Damgaard
654020,STRATNARRA,MSCA-IF,955856431,DR,Joanna,Joanna Szostek,Szostek
654020,STRATNARRA,MSCA-IF,999861451,DR,Joanna,Joanna Szostek,Szostek
654034,SCIMOD,MSCA-IF,999861063,DR,Fiora,Fiora Salis,Salis
654038,DecoMP_ECoG,MSCA-IF,999466467,DR,Jessica,Jessica Schrouff,Schrouff
654038,DecoMP_ECoG,MSCA-IF,99997562,DR,Jessica,Jessica Schrouff,Schrouff
654091,CO2NOR,MSCA-IF,999835843,DR,Ioannis,Ioannis Rigopoulos,Rigopoulos
654101,EntreLab,MSCA-IF,999994535,DR,Daniele,Daniele Morselli,Morselli
654123,GRENHAS,MSCA-IF,999980373,DR,Ayca,Ayca Ozcelikkale,Ozcelikkale
654132,VULCAN,MSCA-IF,936777695,DR,César,César Plaza,Plaza
654132,VULCAN,MSCA-IF,999886283,DR,César,César Plaza,Plaza
654135,BIOCONT6SS,MSCA-IF,999993468,DR,Patricia,Patricia Bernal,Bernal
654147,Invisibilia,MSCA-IF,999991043,DR,Astrid,Astrid Marner,Marner
654154,KGBVIFEF,MSCA-IF,99998435,MR,Benjamin,Benjamin Vollmer,Vollmer
654155,LIMB NETWORKS,MSCA-IF,936821248,DR,Borja,Borja Esteve-Altava,Esteve-Altava
