projectId,projectAcronym,fundingScheme,organizationId,title,firstName,fullName,wikiFullName,lastName
650216,OntoPerson,MSCA-IF,999598678,DR,Mariusz,Mariusz Grygianiec,http://www.wikidata.org/entity/Q63123374,Grygianiec
652745,AUTOOLIGO,MSCA-IF,999990267,MS,Petra,Petra Ménová,http://www.wikidata.org/entity/Q89870613,Menova
652757,ARCGATE,MSCA-IF,999497507,DR,Takamasa,Takamasa Tsubouchi,http://www.wikidata.org/entity/Q59833423,Tsubouchi
652856,CLEANLIB,MSCA-IF,999991722,DR,Hervé,Hervé Baudry,http://www.wikidata.org/entity/Q24342393,Baudry
652862,IMPRECSIM,MSCA-IF,999988812,DR,Darius,Darius Markauskas,http://www.wikidata.org/entity/Q59913986,Markauskas
652871,FIBERSTAR,MSCA-IF,999899572,DR,Daniele,Daniele Tosi,http://www.wikidata.org/entity/Q57560967,Tosi
652890,EMTECS,MSCA-IF,999974262,DR,Yahui,Yahui Wang,http://www.wikidata.org/entity/Q43137476,Wang
652925,MIGRANTCHRISTIANITY,MSCA-IF,999902385,DR,Francesca,Francesca Scrinzi,http://www.wikidata.org/entity/Q89113592,Scrinzi
652938,TELE,MSCA-IF,999838074,DR,Eleftherios,Eleftherios Giovanis,http://www.wikidata.org/entity/Q88017445,Giovanis
652965,Bio-Strategies,MSCA-IF,999642037,DR,Araceli,Araceli Pérez-Sanz,http://www.wikidata.org/entity/Q60655695,Perez-Sanz
653056,EMEHOC,MSCA-IF,99997562,DR,María José,María José Frápolli,http://www.wikidata.org/entity/Q40339840,Frápolli
653066,PGE-PLANETS,MSCA-IF,99986601,DR,Amy,Amy J.V. Riches,http://www.wikidata.org/entity/Q58481011,Riches
653188,GLASS,MSCA-IF,999994826,DR,Anna,Anna Hodgkinson,http://www.wikidata.org/entity/Q91736988,Hodgkinson
653216,MICEXPRESS,MSCA-IF,999974941,DR,Noelia,Noelia Ibáñez-Escriche,http://www.wikidata.org/entity/Q81049582,Ibáñez
653223,USIFlux,MSCA-IF,999993274,DR,Teresa,Teresa E Gimeno,http://www.wikidata.org/entity/Q56556460,Gimeno
653241,OMNICS,MSCA-IF,999991043,DR,Yi,Yi Yang,http://www.wikidata.org/entity/Q43148394,Yang
