projectId,projectAcronym,fundingScheme,organizationId,title,firstName,fullName,wikiFullName,lastName
650216,OntoPerson,MSCA-IF,999598678,DR,Mariusz,Mariusz Grygianiec,http://www.wikidata.org/entity/Q63123374,Grygianiec
652745,AUTOOLIGO,MSCA-IF,999990267,MS,Petra,Petra Ménová,http://www.wikidata.org/entity/Q89870613,Menova
652755,MOLECOPS,MSCA-IF,99998435,DR,Julien,Julien Brachet,,Brachet
652757,ARCGATE,MSCA-IF,999497507,DR,Takamasa,Takamasa Tsubouchi,http://www.wikidata.org/entity/Q59833423,Tsubouchi
652782,FOSICAV,MSCA-IF,999844864,DR,Thomas,Thomas Dedieu,,Dedieu
652837,ISOTOP,MSCA-IF,999905101,DR,Benno,Benno Rem,,Rem
652856,CLEANLIB,MSCA-IF,999991722,DR,Hervé,Hervé Baudry,http://www.wikidata.org/entity/Q24342393,Baudry
652862,IMPRECSIM,MSCA-IF,999988812,DR,Darius,Darius Markauskas,http://www.wikidata.org/entity/Q59913986,Markauskas
652871,FIBERSTAR,MSCA-IF,999899572,DR,Daniele,Daniele Tosi,http://www.wikidata.org/entity/Q57560967,Tosi
652890,EMTECS,MSCA-IF,999974262,DR,Yahui,Yahui Wang,http://www.wikidata.org/entity/Q43137476,Wang
652925,MIGRANTCHRISTIANITY,MSCA-IF,999902385,DR,Francesca,Francesca Scrinzi,http://www.wikidata.org/entity/Q89113592,Scrinzi
652938,TELE,MSCA-IF,999838074,DR,Eleftherios,Eleftherios Giovanis,http://www.wikidata.org/entity/Q88017445,Giovanis
652965,Bio-Strategies,MSCA-IF,999642037,DR,Araceli,Araceli Pérez-Sanz,http://www.wikidata.org/entity/Q60655695,Perez-Sanz
652978,LIAGAN,MSCA-IF,909875521,PROF,Atinati,Atinati Mamatsashvili-Kobakhidze,,Mamatsashvili-Kobakhidze
652978,LIAGAN,MSCA-IF,998096051,PROF,Atinati,Atinati Mamatsashvili-Kobakhidze,,Mamatsashvili-Kobakhidze
652986,STEMCELLTRACK,MSCA-IF,99998435,DR,Christakis,Christakis Constantinides,,Constantinides
652999,COMBPDCHEMOTHERAPY,MSCA-IF,903730668,DR,Marta Erminia,Marta Erminia Alberto,,Alberto
652999,COMBPDCHEMOTHERAPY,MSCA-IF,997732592,DR,Marta Erminia,Marta Erminia Alberto,,Alberto
