CAE_ID,NOTICE_ID,ID_TYPE,DT_DISPATCH,CANCELLED,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_TOWN,CAE_TOWN_LINK,CAE_POSTAL_CODE,ISO_COUNTRY_CODE,CAE_COUNTRY_LINK,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,B_GPA,VALUE_EURO_FIN_2,B_EU_FUNDS,DURATION,TOP_TYPE,B_ELECTRONIC_AUCTION
20181692SE,20181692,2,2018-01-02,0,false,Malmö stad,212000-1124,Malmö,http://www.wikidata.org/entity/Q2211,205 80,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,90000000.0,true,,false,11.97,OPE,false
20181694DE,20181694,2,2018-01-02,0,false,Westdeutscher Rundfunk Köln,,Cologne,http://www.wikidata.org/entity/Q365,50667,Germany,http://www.wikidata.org/entity/Q183,6,Other,S,50700000.0,true,,false,24.01,OPE,false
20181695DE,20181695,2,2018-01-02,0,false,SEG Stadtentwicklungsgesellschaft Wiesbaden mbH,,Wiesbaden,http://www.wikidata.org/entity/Q1721,65187,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,71321000.0,true,,false,18.29,NIC,false
20181705DE,20181705,2,2018-01-02,0,false,"Deutscher Bundestag, Referat ZT 6, Vergaben",,Berlin,http://www.wikidata.org/entity/Q64,11011,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,S,45259300.0,true,,false,24.01,OPE,false
20181706AT,20181706,2,2018-01-02,0,false,"Bund, vertreten durch das Arbeitsmarktservice, dieses vertreten durch das Arbeitsmarktservice OÖ als vergebende Stelle",,Linz,http://www.wikidata.org/entity/Q41329,4021,Austria,http://www.wikidata.org/entity/Q40,6,Other,S,80400000.0,false,,false,5.99,OPE,false
20181708DE,20181708,2,2018-01-02,0,false,SEG Stadtentwicklungsgesellschaft Wiesbaden mbH,,Wiesbaden,http://www.wikidata.org/entity/Q1721,65187,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,71321000.0,true,,false,18.29,NIC,false
20181709SE,20181709,2,2018-01-02,0,false,YRGO,212000-1355,Gothenburg,http://www.wikidata.org/entity/Q25287,402 72,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,80500000.0,true,,false,28.32,OPE,false
20181716UK,20181716,2,2018-01-02,0,false,University of Durham,,Durham,http://www.wikidata.org/entity/Q179815,DH1 3LE,United Kingdom,http://www.wikidata.org/entity/Q145,6,Education,S,80000000.0,true,439302.97,false,24.01,OPE,false
20181718UK,20181718,2,2018-01-02,0,false,Bracknell Forest Borough Council,,Bracknell Croft,http://www.wikidata.org/entity/Q14995390,RG12 1JD,United Kingdom,http://www.wikidata.org/entity/Q145,3,General public\services,S,71353000.0,true,1183677.45,false,48.03,OPE,false
20181720DE,20181720,2,2018-01-02,0,false,Bezirkskrankenhaus Bayreuth,,Bayreuth,http://www.wikidata.org/entity/Q3923,95445,Germany,http://www.wikidata.org/entity/Q183,8,Health,S,71300000.0,false,11176500,false,46.09,NIC,false
20182220AT,20182220,5,2018-01-02,0,false,ÖBB-Infrastruktur AG,,Vienna,http://www.wikidata.org/entity/Q1741,1020,Austria,http://www.wikidata.org/entity/Q40,4,Railway services,W,45234100.0,false,,false,17.76,OPE,false
20182252AT,20182252,5,2018-01-02,0,false,ÖBB Rail Equipment GmbH &amp; Co KG,,Vienna,http://www.wikidata.org/entity/Q1741,1040,Austria,http://www.wikidata.org/entity/Q40,4,Railway services,U,34351100.0,false,,false,11.97,NIC,false
20182289SE,20182289,5,2018-01-02,0,false,"Sydskånes avfallsaktiebolag, SYSAV",556187-0410,Malmö,http://www.wikidata.org/entity/Q2211,202 13,Sweden,http://www.wikidata.org/entity/Q34,4,"Production, transport and distribution of gas and heat",S,50500000.0,true,,false,11.97,OPE,false
20182290PL,20182290,5,2018-01-02,0,false,Miejskie Przedsiębiorstwo Wodociagów i Kanalizacji S.A.,,Wrocław,http://www.wikidata.org/entity/Q1799,50-421,Poland,http://www.wikidata.org/entity/Q36,4,Water,S,66510000.0,false,,false,36.02,OPE,false
20182291AT,20182291,5,2018-01-02,0,false,Österreichische Post AG,,Vienna,http://www.wikidata.org/entity/Q1741,1030,Austria,http://www.wikidata.org/entity/Q40,4,Postal Services,S,79512000.0,false,1500000,false,12.01,NIC,false
20182294DE,20182294,5,2018-01-02,0,false,DB Station&amp;Service AG (Bukr 11),,Berlin,http://www.wikidata.org/entity/Q64,10557,Germany,http://www.wikidata.org/entity/Q183,4,Railway services,S,72250000.0,false,,false,36.02,NIC,false
20182529NO,20182529,2,2018-01-02,0,false,Bærum kommune,935 478 715,Sandvika,http://www.wikidata.org/entity/Q651744,1304,Norway,http://www.wikidata.org/entity/Q20,3,General public\services,W,45000000.0,true,,false,33.75,NIC,false
20182539CH,20182539,2,2018-01-02,0,false,Centrale Commune d&apos;Achats,,Geneva,http://www.wikidata.org/entity/Q71,1211,Switzerland,http://www.wikidata.org/entity/Q39,3,General public\services,S,22000000.0,true,,false,60.03,OPE,false
20182544CH,20182544,5,2018-01-02,0,false,Service Achats Transports publics genevois,,Lancy,http://www.wikidata.org/entity/Q64065,1212,Switzerland,http://www.wikidata.org/entity/Q39,4,"Urban railway, tramway, trolleybus or bus services",W,45300000.0,true,,false,4.05,OPE,false
20182545CH,20182545,5,2018-01-02,0,false,Service Achats Transports publics genevois,,Lancy,http://www.wikidata.org/entity/Q64065,1212,Switzerland,http://www.wikidata.org/entity/Q39,4,"Urban railway, tramway, trolleybus or bus services",W,45300000.0,true,,false,4.05,OPE,false
20182563AT,20182563,2,2018-01-03,0,false,Magistrat der Stadt Wien - Magistratsabteilung 34,0,Vienna,http://www.wikidata.org/entity/Q1741,1194,Austria,http://www.wikidata.org/entity/Q40,3,General public\services,W,45316000.0,true,,false,57.01,NIC,false
20182566DE,20182566,2,2018-01-03,0,false,Stadt Plauen,,Plauen,http://www.wikidata.org/entity/Q3952,08523,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45262320.0,true,,false,7.93,OPE,false
20182568DE,20182568,2,2018-01-03,0,false,Stadt Plauen,,Plauen,http://www.wikidata.org/entity/Q3952,08523,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45410000.0,true,,false,9.34,OPE,false
20182569DE,20182569,2,2018-01-03,0,false,"Landeshauptstadt Dresden, GB Stadtentwicklung, Bau, Verkehr und Liegenschaften, Amt f. Hochbau u. Immobilienverwaltung",DED21,Dresden,http://www.wikidata.org/entity/Q1731,01001,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45214300.0,true,404084.51,false,24.24,OPE,false
20182571DE,20182571,2,2018-01-03,0,false,Stadt Plauen,,Plauen,http://www.wikidata.org/entity/Q3952,08523,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45432130.0,true,,false,9.57,OPE,false
20182572DE,20182572,2,2018-01-03,0,false,Stadt Plauen,,Plauen,http://www.wikidata.org/entity/Q3952,08523,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45262511.0,true,,false,4.97,OPE,false
20182573DE,20182573,2,2018-01-03,0,false,"Betrieb für Bau und Liegenschaften M-V, ZVS,die Bundesrepublik Deutschland vertretend",,Rostock,http://www.wikidata.org/entity/Q2861,18055,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,W,45252200.0,true,,false,0.82,OPE,false
20182577DE,20182577,2,2018-01-04,0,false,"Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Niederlassung Leipzig 1",,Leipzig,http://www.wikidata.org/entity/Q2079,04328,Germany,http://www.wikidata.org/entity/Q183,3,Economical anf Financial Affairs,W,45320000.0,true,,false,14.64,OPE,false
20182580DE,20182580,2,2018-01-03,0,false,"Betrieb für Bau und Liegenschaften Mecklenburg-Vorpommern, die Bundesrepublik Deutschland vertretend,",,Rostock,http://www.wikidata.org/entity/Q2861,18055,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,W,43800000.0,true,,false,0.82,OPE,false
20182581DE,20182581,2,2018-01-03,0,false,Charité - Universitätsmedizin Berlin,,Berlin,http://www.wikidata.org/entity/Q64,10117,Germany,http://www.wikidata.org/entity/Q183,6,Health,W,45111000.0,true,,false,4.44,OPE,false
20182583DE,20182583,2,2018-01-03,0,false,"Land Baden-Württemberg, vertreten durch den Landesbetrieb Vermögen und Bau Baden-Württemberg, Amt Konstanz",,Konstanz,http://www.wikidata.org/entity/Q3834,78464,Germany,http://www.wikidata.org/entity/Q183,3,Economical anf Financial Affairs,W,42512300.0,true,,false,17.04,OPE,false
20182584DE,20182584,2,2018-01-03,0,false,Stadt Paderborn,DEA47,Paderborn,http://www.wikidata.org/entity/Q2971,33098,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45111100.0,true,,false,1.94,OPE,false
20182587DE,20182587,2,2018-01-03,0,false,GESOBAU AG,,Berlin,http://www.wikidata.org/entity/Q64,D-13439,Germany,http://www.wikidata.org/entity/Q183,8,Housing and community amenities,W,45321000.0,true,,false,2.2,OPE,false
20182589DE,20182589,2,2018-01-03,0,false,"Land Baden-Württemberg, vertreten durch den Landesbetrieb Vermögen und Bau Baden-Württemberg, Amt Konstanz",,Konstanz,http://www.wikidata.org/entity/Q3834,78464,Germany,http://www.wikidata.org/entity/Q183,3,Economical anf Financial Affairs,W,45232460.0,true,,false,17.04,OPE,false
20182592DE,20182592,2,2018-01-04,0,false,"Land Baden-Württemberg, vertreten durch den Landesbetrieb Vermögen und Bau Baden-Württemberg, Amt Konstanz",,Konstanz,http://www.wikidata.org/entity/Q3834,78464,Germany,http://www.wikidata.org/entity/Q183,3,Economical anf Financial Affairs,W,42512300.0,true,,false,17.04,OPE,false
20182596DE,20182596,2,2018-01-03,0,false,Universitätsklinikum Düsseldorf,,Düsseldorf,http://www.wikidata.org/entity/Q1718,40225,Germany,http://www.wikidata.org/entity/Q183,6,Health,W,45431000.0,true,,false,10.26,OPE,false
20182597DE,20182597,2,2018-01-03,0,false,BLB NRW Niederlassung Aachen,,Aachen,http://www.wikidata.org/entity/Q1017,52074,Germany,http://www.wikidata.org/entity/Q183,8,General public\services,W,45421146.0,true,,false,5.95,OPE,false
20182598DE,20182598,2,2018-01-03,0,false,Kerckhoff-Klinik – Vergabestelle –,,Bad Nauheim,http://www.wikidata.org/entity/Q16105,61231,Germany,http://www.wikidata.org/entity/Q183,6,Health,W,45215140.0,true,,false,32.14,RES,false
20182601DE,20182601,2,2018-01-03,0,false,Kommunale Immobilien Jena - Eigenbetrieb der Stadt Jena,,Jena,http://www.wikidata.org/entity/Q3150,07743,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,W,45442100.0,true,385612.74,false,14.28,OPE,false
20182602DE,20182602,2,2018-01-03,0,false,Universitätsklinikum Düsseldorf,,Düsseldorf,http://www.wikidata.org/entity/Q1718,40225,Germany,http://www.wikidata.org/entity/Q183,6,Health,W,45315700.0,true,,false,19.01,OPE,false
20182603DE,20182603,2,2018-01-03,0,false,Staatliches Bauamt Bamberg,,Bamberg,http://www.wikidata.org/entity/Q3936,96049,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,W,45431000.0,true,,false,0.89,OPE,false
20182604DE,20182604,2,2018-01-03,0,false,Klinikum Landau – Südliche Weinstraße GmbH,,Landau in der Pfalz,http://www.wikidata.org/entity/Q7052,76829,Germany,http://www.wikidata.org/entity/Q183,8,Health,W,45000000.0,true,,false,16.71,OPE,false
20182759FI,20182759,2,2018-01-03,0,false,Puolustusvoimien logistiikkalaitoksen esikunta,0952029-9,Tampere,http://www.wikidata.org/entity/Q40840,33541,Finland,http://www.wikidata.org/entity/Q33,1,Defence,U,35710000.0,true,1000000,false,11.97,OPE,false
20182765DE,20182765,2,2018-01-03,0,false,Straßenbauamt Neustrelitz,,Neustrelitz,http://www.wikidata.org/entity/Q20352,17235,Germany,http://www.wikidata.org/entity/Q183,3,Other,U,34927100.0,true,2340000,false,24.01,OPE,false
20182787UK,20182787,2,2018-01-03,0,false,University of Sheffield,,Sheffield,http://www.wikidata.org/entity/Q42448,S10 2TN,United Kingdom,http://www.wikidata.org/entity/Q145,6,Education,U,22000000.0,true,222092.06,false,32.11,OPE,false
20182800UK,20182800,2,2018-01-03,0,false,The University of Sheffield,,Sheffield,http://www.wikidata.org/entity/Q42448,S10 2TN,United Kingdom,http://www.wikidata.org/entity/Q145,6,Education,U,42900000.0,true,1435056.38,false,0.03,OPE,false
20182801DE,20182801,2,2018-01-03,0,false,Ruhr-Univervität Bochum,,Bochum,http://www.wikidata.org/entity/Q2103,44801,Germany,http://www.wikidata.org/entity/Q183,6,Education,U,30230000.0,false,680000,false,2.37,OPE,false
20182810SE,20182810,2,2018-01-03,0,false,Göteborgs Stad Inköp och upphandling,212000-1355,Gothenburg,http://www.wikidata.org/entity/Q25287,40523,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,U,9100000.0,true,,false,48.03,OPE,false
20182832DE,20182832,2,2018-01-03,0,false,AOK Rheinland-Pfalz/Saarland - Die Gesundheitskasse,,Eisenberg,http://www.wikidata.org/entity/Q486568,67304,Germany,http://www.wikidata.org/entity/Q183,6,Health,U,33600000.0,false,,false,24.01,OPE,false
20182834DE,20182834,2,2018-01-03,0,false,AOK Rheinland-Pfalz/Saarland - Die Gesundheitskasse,,Eisenberg,http://www.wikidata.org/entity/Q486568,67304,Germany,http://www.wikidata.org/entity/Q183,6,Health,U,33600000.0,false,,false,24.01,OPE,false
20182840DE,20182840,2,2018-01-03,0,false,Universitätsklinikum Düsseldorf,,Düsseldorf,http://www.wikidata.org/entity/Q1718,40225,Germany,http://www.wikidata.org/entity/Q183,6,Health,U,33000000.0,true,,false,11.78,OPE,false
20182858DK,20182858,2,2018-01-03,0,true,Region Hovedstaden---Region Midtjylland---Region Nordjylland---Region Sjælland---Region Syddanmark,,Hillerød,http://www.wikidata.org/entity/Q27425,3400---8800---9220---4180---7100,Denmark,http://www.wikidata.org/entity/Q35,6,Health,U,33100000.0,true,7508193.2,false,42.6,OPE,false
20182867ES,20182867,2,2018-01-03,0,false,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",A28476208,Madrid,http://www.wikidata.org/entity/Q2807,28006,Spain,http://www.wikidata.org/entity/Q29,8,Environment,U,44110000.0,false,1061954.38,false,24.05,OPE,false
20183246DE,20183246,2,2018-01-03,0,false,"Landkreis München, vertreten durch die Münchner Verkehrs- und Tarifverbund GmbH (MVV)",,Munich,http://www.wikidata.org/entity/Q1726,80538,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,60112000.0,false,,false,96.22,OPE,false
20183247DE,20183247,2,2018-01-03,0,false,"Landkreise Dachau und München, vertreten durch die Münchner Verkehrs- und Tarifverbund GmbH (MVV)",,Munich,http://www.wikidata.org/entity/Q1726,80538,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,60112000.0,false,,false,96.22,OPE,false
20183248AT,20183248,2,2018-01-03,0,false,TEERAG-ASDAG AG,,Vienna,http://www.wikidata.org/entity/Q1741,1100,Austria,http://www.wikidata.org/entity/Q40,8,Environment,S,71300000.0,false,,false,22.07,NIC,false
20183251SE,20183251,2,2018-01-03,0,false,Kristianstads kommun,212000-0951,Kristianstad socken,http://www.wikidata.org/entity/Q32269337,291 32,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,66114000.0,true,5808488.84,false,10.56,OPE,false
20183252DE,20183252,2,2018-01-03,0,false,Stadt Bottrop,,Bottrop,http://www.wikidata.org/entity/Q3069,46236,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,71356400.0,true,6400000,false,28.06,NIC,false
20183259FR,20183259,2,2018-01-03,0,false,CPAM de Meurthe et Moselle,,Nancy,http://www.wikidata.org/entity/Q40898,54047,France,http://www.wikidata.org/entity/Q142,8,Health,S,90911000.0,true,,false,24.01,OPE,false
20183263UK,20183263,2,2018-01-03,0,false,Yorkshire 2019 Limited,,Leeds,http://www.wikidata.org/entity/Q39121,LS1 5AB,United Kingdom,http://www.wikidata.org/entity/Q145,6,General public\services,S,92622000.0,true,610143.02,false,19.05,OPE,false
20183265DE,20183265,2,2018-01-03,0,false,DAK-Gesundheit,,Hamburg,http://www.wikidata.org/entity/Q1055,20097,Germany,http://www.wikidata.org/entity/Q183,6,Health,S,79416000.0,false,,false,48.03,OPE,false
20183267DE,20183267,2,2018-01-03,0,false,"Landeshauptstadt Dresden, Geschäftsbereich Stadtentwicklung, Bau, Verkehr und Liegenschaften, Amt für Hochbau und Immobilienverwaltung",,Dresden,http://www.wikidata.org/entity/Q1731,01001,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,71300000.0,true,,false,109.14,NIC,false
20183275SE,20183275,2,2018-01-03,0,false,Filipstads kommun,212000-1876,Filipstad socken,http://www.wikidata.org/entity/Q32234877,68227,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,45442100.0,true,,false,24.01,OPE,false
20183279NL,20183279,2,2018-01-03,0,false,Gemeente Amstelveen,,Amstelveen,http://www.wikidata.org/entity/Q33421878,1182JR,Netherlands,http://www.wikidata.org/entity/Q55,3,General public\services,S,72000000.0,false,38468,false,2.89,OPE,false
20183281DE,20183281,2,2018-01-03,0,false,Jobcenter team.arbeit.hamburg vertreten durch die Gebäudemanagement Schleswig-Holstein AöR,,Kiel,http://www.wikidata.org/entity/Q1707,24103,Germany,http://www.wikidata.org/entity/Q183,6,Other,S,64110000.0,true,,false,13.98,OPE,false
20183283DE,20183283,2,2018-01-03,0,false,SAEK-Förderwerk für Rundfunk und neue Medien gGmbH,,Leipzig,http://www.wikidata.org/entity/Q2079,04109,Germany,http://www.wikidata.org/entity/Q183,8,Education,S,80490000.0,true,,false,36.02,OPE,false
20183288DE,20183288,2,2018-01-03,0,false,Stadt Oelde,,Oelde,http://www.wikidata.org/entity/Q2752,59302,Germany,http://www.wikidata.org/entity/Q183,3,General public\services,S,71240000.0,true,,false,12.99,NIC,false
20183294UK,20183294,2,2018-01-03,0,false,Place Partnership Limited,,Worcester,http://www.wikidata.org/entity/Q49179,WR5 1JR,United Kingdom,http://www.wikidata.org/entity/Q145,3,General public\services,S,90919300.0,true,,false,36.02,RES,false
20183301DE,20183301,2,2018-01-03,0,false,Charité CFM Facility Management GmbH,,Berlin,http://www.wikidata.org/entity/Q64,10117,Germany,http://www.wikidata.org/entity/Q183,6,Health,S,71700000.0,true,,false,9.54,OPE,false
20183308DE,20183308,2,2018-01-04,0,false,Beschaffungsamt des Bundesministeriums des Innern,,Bonn,http://www.wikidata.org/entity/Q586,53119,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,S,71317210.0,true,,false,11.97,OPE,false
20183310NL,20183310,2,2018-01-03,0,false,Gemeente Amstelveen,,Amstelveen,http://www.wikidata.org/entity/Q33421878,1182JR,Netherlands,http://www.wikidata.org/entity/Q55,3,General public\services,S,72000000.0,false,75862,false,4.9,OPE,false
20183313FI,20183313,2,2018-01-03,0,false,Turun kaupunki / Strateginen hankinta,0204819-8,Turku,http://www.wikidata.org/entity/Q38511,20101,Finland,http://www.wikidata.org/entity/Q33,R,General public\services,S,60100000.0,true,1500000,false,24.01,OPE,false
20183323PL,20183323,2,2018-01-03,0,false,Polska Agencja Rozwoju Przedsiębiorczości,,Warsaw,http://www.wikidata.org/entity/Q270,00-834,Poland,http://www.wikidata.org/entity/Q36,8,Other,S,79315000.0,true,64096.76,true,8.72,OPE,false
20183325SE,20183325,2,2018-01-03,0,false,Marks kommun,212000-1504,Kinna,http://www.wikidata.org/entity/Q32265380,511 80,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,45453000.0,true,,false,24.01,OPE,false
20183326SE,20183326,2,2018-01-03,0,false,Regional avfallsanläggning i mellersta Bohus- län Aktiebolag (RAMBO),556211-9007,Lysekil socken,http://www.wikidata.org/entity/Q32285186,45380,Sweden,http://www.wikidata.org/entity/Q34,6,General public\services,S,90500000.0,true,2.112177761E7,false,96.09,OPE,false
20183330ES,20183330,2,2018-01-03,0,false,Dirección del Instituto Español de Oceanografía,Q2823001I,Madrid,http://www.wikidata.org/entity/Q2807,28002,Spain,http://www.wikidata.org/entity/Q29,1,General public\services,S,90911200.0,false,960000,false,11.97,OPE,false
20183338SE,20183338,2,2018-01-03,0,false,Filipstads kommun,212000-1876,Filipstad socken,http://www.wikidata.org/entity/Q32234877,68227,Sweden,http://www.wikidata.org/entity/Q34,3,General public\services,S,50882000.0,true,,false,24.01,OPE,false
20183340PL,20183340,2,2018-01-03,0,false,Uniwersytet Gdański,,Gdańsk,http://www.wikidata.org/entity/Q1792,80-309,Poland,http://www.wikidata.org/entity/Q36,8,Education,S,66514110.0,false,,false,24.01,OPE,false
