CAE_ID,NOTICE_ID,ID_TYPE,DT_DISPATCH,CANCELLED,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_TOWN,CAE_POSTAL_CODE,ISO_COUNTRY_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,B_GPA,VALUE_EURO_FIN_2,B_EU_FUNDS,DURATION,TOP_TYPE,B_ELECTRONIC_AUCTION
201871PL,201871,2,2017-12-29,0,false,Miejskie Wodociągi i Kanalizacja w Kędzierzynie-Koźlu Sp. z o.o.,,Kędzierzyn-Koźle,47-200,PL,6,General public\services,W,45000000.0,false,,false,20.49,OPE,false
201878PL,201878,2,2017-12-30,0,false,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Prudnik,,Prudnik,48-200,PL,8,Other,W,45200000.0,false,,true,7.01,OPE,false
201887FR,201887,2,2017-12-29,0,false,Communauté d&apos;agglomération de l&apos;Albigeois,,Albi,81009,FR,8,General public\services,W,45233220.0,true,,false,29.64,OPE,false
2018154HU,2018154,2,2017-12-29,0,false,Állami Szívkórház,AK00164,Balatonfüred,8230,HU,8,Health,U,15000000.0,true,494270.49,false,11.97,OPE,false
2018155DE,2018155,2,2017-12-29,0,false,"Präsidium Technik, Logistik, Service der Polizei",,Stuttgart,70372,DE,1,Public Order and Safety,U,34100000.0,false,,false,32.8,OPE,false
2018164HU,2018164,2,2017-12-29,0,false,Kormányzati Informatikai Fejlesztési Ügynökség,AK06203,Budapest,1027,HU,8,Other,U,30236000.0,false,,false,6.48,OPE,false
2018185PL,2018185,2,2017-12-29,0,false,Wojewódzka Stacja Pogotowia Ratunkowego i Transportu Sanitarnego &quot;Meditrans&quot; SPZOZ w Warszawie,,Warszawa,00-685,PL,6,Health,U,33140000.0,false,64996,false,11.97,OPE,false
2018202HU,2018202,2,2017-12-29,0,false,Szociális és Gyermekvédelmi Főigazgatóság,AK17756,Budapest,1132,HU,N,Social protection,U,9310000.0,false,,false,11.97,OPE,true
2018231DE,2018231,2,2017-12-30,0,false,"Kommunale Unfallversicherung Bayern (KUVB), München",,München,80805,DE,6,Health,U,30200000.0,true,,false,1.02,OPE,false
2018253FR,2018253,2,2017-12-29,0,false,Centre hospitalier d&apos;Arles,,Arles,13637,FR,8,Health,U,15530000.0,true,,false,23.98,OPE,false
2018257FR,2018257,2,2017-12-29,0,true,CHU Saint-Etienne---GCS Uniha,,Saint-Etienne Cedex 02---Lyon,42055---69003,FR,8,Health,U,33124131.0,true,4000000,false,7.01,OPE,false
2018415DE,2018415,2,2017-12-29,0,false,Thüringer Ministerium für Infrastruktur und Landwirtschaft,,Erfurt,99096,DE,1,General public\services,S,60210000.0,false,,false,60.1,NIC,false
2018417PL,2018417,2,2017-12-29,0,false,Miasto Chorzów Biuro Zamówień Publicznych,,Chorzów,41-500,PL,3,General public\services,S,90513100.0,false,,false,9.57,OPE,false
2018421PL,2018421,2,2017-12-29,0,false,Skarb Państwa Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Różańsko,,Różańsko,74-311,PL,8,Other,S,77200000.0,false,8581176.76,false,34.08,OPE,false
2018422HU,2018422,2,2017-12-29,0,false,Oktatási Hivatal,AK05846,Budapest,1055,HU,N,Education,S,60140000.0,false,231497.97,true,30.2,OPE,false
2018434PL,2018434,2,2017-12-29,0,false,PGL Lasy Państwowe Nadleśnictwo Pułtusk,,Pułtusk,06100,PL,8,Environment,S,77200000.0,false,,false,10.95,OPE,false
2018435DE,2018435,2,2017-12-29,0,false,Klinikum Chemnitz gGmbH,,Chemnitz,09116,DE,8,Health,S,71300000.0,true,600000,false,15.53,NIC,false
2018436EE,2018436,2,2017-12-29,0,false,Keskkonnaamet,70008658,Tallinn,15172,EE,1,Environment,S,73112000.0,true,64810,true,17.89,OPE,false
2018437PL,2018437,2,2017-12-29,0,false,Urząd Gminy Michałowice,,Michałowice,32-091,PL,3,General public\services,S,90500000.0,false,,false,24.01,OPE,false
2018439EE,2018439,2,2017-12-29,0,false,E-riigi Akadeemia Sihtasutus,90007000,Tallinn,10111,EE,8,Other,S,72210000.0,false,,true,6.68,OPE,false
2018440PL,2018440,2,2017-12-29,0,false,Komenda Główna Ochotniczych Hufców Pracy,,Warszawa,00-349,PL,8,Education,S,55300000.0,false,,true,4.9,OPE,false
2018447PL,2018447,2,2017-12-29,0,false,Miasto Łódź - Zarząd Zieleni Miejskiej w Łodzi,,Łódź,94-303,PL,8,General public\services,S,77313000.0,true,,false,38.03,OPE,false
2018449PL,2018449,2,2017-12-29,0,false,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Zamrzenica,,Bysław,89-510,PL,8,Other,S,77200000.0,false,3434719.88,false,11.97,OPE,false
2018458IE,2018458,2,2017-12-29,0,false,Science Foundation Ireland,IE9563042M,Wilton Place,Wilton Park House,IE,1,Other,S,72224000.0,false,200000,false,20.46,OPE,false
2018461PL,2018461,2,2017-12-29,0,false,Polska Agencja Rozwoju Przedsiębiorczości,,Warszawa,00-834,PL,8,Other,S,79300000.0,true,46296.3,true,20.07,OPE,false
2018462PL,2018462,2,2017-12-29,0,false,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Starachowice,,Starachowice,27-200,PL,8,Other,S,77200000.0,false,,false,10.03,OPE,false
2018467DE,2018467,2,2017-12-29,0,false,Sportstätten Oberstdorf,,Oberstdorf,87561,DE,6,General public\services,S,71541000.0,true,720000,false,30.1,OPE,false
2018470PL,2018470,2,2017-12-29,0,false,Muzeum Śląskie w Katowicach,001094121,Katowice,40-205,PL,8,"Recreation, culture and religion",S,75251110.0,false,,false,22.04,OPE,false
2018473PL,2018473,2,2017-12-29,0,false,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Starachowice,,Starachowice,27-200,PL,8,Other,S,77200000.0,false,,false,10.95,OPE,false
2018477PL,2018477,2,2017-12-29,0,false,Skarb Państwa Lasy Państwowe Nadleśnictwo Dąbrowa,559-000-20-65,Jeżewo,86-131,PL,8,Other,S,77200000.0,false,1135957,false,36.02,OPE,false
2018493HU,2018493,2,2017-12-29,0,false,NHKV Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zártkörűen Működő Részvénytársaság,AK23600,Budapest,1036,HU,6,Other,S,90500000.0,true,0,false,7.04,OPE,false
2018494DE,2018494,2,2017-12-29,0,false,Stadt Wittenburg,,Wittenburg,19243,DE,3,General public\services,S,71200000.0,true,250000,true,96.09,NIC,false
2018495DE,2018495,2,2017-12-29,0,false,Gemeinde Gauting,,Gauting,82131,DE,3,General public\services,S,75110000.0,true,,false,17.99,NIC,false
2018505HU,2018505,2,2017-12-29,0,false,Kormányzati Informatikai Fejlesztési Ügynökség,AK06203,Budapest,1027,HU,8,Other,S,72000000.0,false,,false,6.48,OPE,false
2018506HU,2018506,2,2017-12-29,0,false,NHKV Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zártkörűen Működő Részvénytársaság,AK23600,Budapest,1036,HU,6,Other,S,66000000.0,true,,false,34.08,OPE,false
2018511PL,2018511,2,2017-12-29,0,false,Instytut Meteorologii i Gospodarki Wodnej Państwowy Instytut Badawczy,,Warszawa,01-673,PL,8,Other,S,66510000.0,false,,false,35.03,OPE,false
2018523DE,2018523,2,2017-12-30,0,false,Landratsamt Erzgebirgskreis,,Annaberg-Buchholz,09456,DE,3,General public\services,S,79713000.0,true,,false,11.97,OPE,false
2018528DE,2018528,2,2018-01-01,0,false,Kreisstadt St. Wendel,,St.Wendel,66606,DE,3,General public\services,S,71300000.0,true,,false,45.59,NIC,false
2018535FR,2018535,2,2017-12-29,0,false,Communauté d&apos;agglomération Baie de Somme,,Abbeville,80100,FR,3,General public\services,S,90500000.0,true,1100000,false,46.09,OPE,false
2018536FR,2018536,2,2017-12-29,0,false,CC du Pays Réuni d&apos;Orange,,Orange,84-100,FR,1,General public\services,S,90500000.0,false,3600000,false,11.97,NIC,false
2018537FR,2018537,2,2017-12-29,0,false,C. h. Verdun Saint Mihiel,,Verdun,55100,FR,6,Health,S,85143000.0,false,,false,23.98,OPE,false
2018538PL,2018538,2,2018-01-01,0,false,Nadleśnictwo Przysucha,,Przysucha,26-400,PL,8,Other,S,77200000.0,false,406143.39,false,11.45,OPE,false
2018539FR,2018539,2,2017-12-29,0,false,Agence Française de Développement,775 665 599 00129,Paris Cedex 12,75598,FR,8,Other,S,80540000.0,false,,true,4.84,OPE,false
2018545FR,2018545,2,2017-12-29,0,false,Agence Française de Développement,775 665 599 00129,Paris Cedex 12,75598,FR,8,Other,S,80540000.0,false,,true,3.91,OPE,false
