Residuos Urbanos de las e-DMAs E-PRTR 2012;;;;;;;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;CNAE'09;CNAE Ppal;E-PRTR;E-PRTR Ppal;SNAP;SNAP Ppal;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2012;B01218932;CELSA ATLANTIC;0100000240;LAMINACIONES ARREGUI, S.L.;Vitoria-Gasteiz;2420;1;2.c.i;1;040208;1;200101;Papel y cartón;R13;Urbano;3740;KG
2012;A01000249;LASCARAY;0100000202;LASCARAY;Vitoria-Gasteiz;2059;1;4.a.ii;1;040527;1;110302;Otros residuos;-//D1//-//-//-//-//-;Urbano;9100;KG
2012;A79380465;MERCEDES-BENZ ESPAÑA;0100002539;MERCEDES-BENZ ESPAÑA, S.A.;Vitoria-Gasteiz;2910;1;9.c;1;060101;1;200301;Mezclas de residuos municipales;D1;Urbano;298660;KG
2012;A79380465;MERCEDES-BENZ ESPAÑA;0100002539;MERCEDES-BENZ ESPAÑA, S.A.;Vitoria-Gasteiz;2910;1;9.c;1;060101;1;200301;Mezclas de residuos municipales;R12;Urbano;24060;KG
2012;A79380465;MERCEDES-BENZ ESPAÑA;0100002539;MERCEDES-BENZ ESPAÑA, S.A.;Vitoria-Gasteiz;2910;1;9.c;1;060101;1;200399;Residuos municipales no especificados en otra categoría;-//D1//-//-//-//-//-;Urbano;27440;KG
2012;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;2211;1;9.c;1;060305;1;200125;Aceites y grasas comestibles;R13;Urbano;0;KG
2012;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;2211;1;9.c;1;060305;1;150106;Envases mixtos;R13;Urbano;52560;KG
2012;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;2211;1;9.c;1;060305;1;200304;Lodos de fosas sépticas;R13;Urbano;52000;KG
2012;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;2211;1;9.c;1;060305;1;200301;Mezclas de residuos municipales;R13;Urbano;269839;KG
2012;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;2211;1;9.c;1;060305;1;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;64940;KG
2012;A01352368;NOVACERO;0100006172;NOVACERO SAL;Vitoria-Gasteiz;2452;1;2.d;1;040309;1;200301;Mezclas de residuos municipales;D5;Urbano;7500;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;150103;Envases de madera;-//D1//-//-//-//-//-;Urbano;141790;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;150101;Envases de papel y cartón;-//D1//-//-//-//-//-;Urbano;24860;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;150106;Envases mixtos;D1;Urbano;45020;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;170405;Hierro y acero;-//D1//-//-//-//-//-;Urbano;25380;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;191203;Metales no férreos;-//D1//-//-//-//-//-;Urbano;380;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;-//D1//-//-//-//-//-;Urbano;115500;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;200301;Mezclas de residuos municipales;D5;Urbano;67960;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;200199;Otras fracciones no especificadas en otra categoría;D5;Urbano;26980;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;-//D1//-//-//-//-//-;Urbano;17;KG
2012;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;2012;1;4.b.v;1;040416;1;061199;Residuos no especificados en otra categoría;D1;Urbano;183100;KG
2012;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;2451;1;2.d;1;040207;1;200301;Mezclas de residuos municipales;D1;Urbano;5500;KG
2012;A01258458;RAMONDIN CAPSULAS;0100001348;RAMONDIN CÁPSULAS, S.A.;Laguardia;2592;1;9.c;1;060108;1;200301;Mezclas de residuos municipales;D2;Urbano;70000;KG
2012;B01292903;GERDAU ACEROS ESPECIALES EUROPA, S.L.;0100002541;SIDENOR INDUSTRIAL FABRICA DE VITORIA-GASTEIZ;Vitoria-Gasteiz;2410;1;2.c.i;1;040208;1;200301;Mezclas de residuos municipales;R13;Urbano;0;KG
2012;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;2573;1;2.f;1;040308;1;150103;Envases de madera;R13;Urbano;0;KG
2012;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;2573;1;2.f;1;040308;1;150101;Envases de papel y cartón;R13;Urbano;0;KG
2012;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;2573;1;2.f;1;040308;1;170405;Hierro y acero;R13;Urbano;483480;KG
2012;B01463694;TUBOS REUNIDOS INDUSTRIAL S.L.U.;0100002267;TUBOS REUNIDOS INDUSTRIAL S.L.U.;Amurrio;2420;1;2.c.i;1;040208;1;200139;Plásticos;R5;Urbano;0;KG
2012;B01463694;TUBOS REUNIDOS INDUSTRIAL S.L.U.;0100002267;TUBOS REUNIDOS INDUSTRIAL S.L.U.;Amurrio;2420;1;2.c.i;1;040208;1;200399;Residuos municipales no especificados en otra categoría;D5;Urbano;0;KG
2012;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;2013;1;4.b.iv;1;040416;1;200301;Mezclas de residuos municipales;D15/R1;Urbano;0;KG
2012;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;2013;1;4.b.iv;1;040416;1;191201;Papel y cartón;D15/R1;Urbano;1120;KG
2012;B75054627;ALTUNA METAL WORKS;2000079319;ALTUNA METAL WORKS;Aretxabaleta;2445;1;2.e.ii;1;030307;1;200301;Mezclas de residuos municipales;D5;Urbano;300;KG
2012;B20379194;ANODIZADOS ESPECIALES Y DUROS;2000001952;ANESDUR;Ordizia;2561;1;2.f;1;040308;1;200199;Otras fracciones no especificadas en otra categoría;R13;Urbano;140;KG
2012;B20435301;ARCELORMITTAL GIPUZKOA;2000007979;ARCELOR MITTAL OLABERRÍA, S.L.;Olaberria;2410;1;2.b;1;040302;1;200301;Mezclas de residuos municipales;R13;Urbano;0;KG
