AÑO;MES;ID;EDIFICIO;DIRECCION;DISTRITO;BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Contador_General;Externo;Energia activa;Activa Interruptor Gral;kWh;NO DATA
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Gas;Externo;Gas;Gas;m3/h;360
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Contador_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;NO DATA
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Administracion;Externo;Energia activa; ;kWh;1131,1100000000006
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Alumbrado_Ext;Externo;Energia activa; ;kWh;214,20000000000073
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Aparcamiento;Externo;Energia activa; ;kWh;1914,800000000003
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Area_Tecnica;Externo;Energia activa; ;kWh;714,3000000000029
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Cancha;Externo;Energia activa; ;kWh;5079,690000000002
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Enfriadora;Externo;Energia activa; ;kWh;2591
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Fuerza_Instalaciones;Externo;Energia activa; ;kWh;9744
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Futbol_y_VestuarioPoli;Externo;Energia activa; ;kWh;1680
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_General_BT;Externo;Energia activa; ;kWh;23569
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Piscina_Instalaciones;Externo;Energia activa; ;kWh;0
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Piscina_y_Vestuario;Externo;Energia activa; ;kWh;3451,5
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Salas_HidroAeroMuscul;Externo;Energia activa; ;kWh;2511,199999999997
2020;8;1541;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;IMPERIAL;439121.92373174266;4473233.905640472;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Zonas_Comunes;Externo;Energia activa; ;kWh;2277,9100000000035
2020;8;844;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;439493.0177562982;4469717.279749393;-3.7127673625946;40.3758429603234;AMCDMORCASITASOFICINAS_GeneralBT_Oficinas;Externo;Energia activa;Activa Interruptor Gral;kWh;2223
2020;8;844;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;439493.0177562982;4469717.279749393;-3.7127673625946;40.3758429603234;AMCDMORCASITASVERANO_GeneralBT_Verano;Externo;Energia activa;Activa Interruptor Gral;kWh;18790
2020;8;844;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;439493.0177562982;4469717.279749393;-3.7127673625946;40.3758429603234;AMCDMORCASITASOFICINAS_Contador_CTOficinas;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;NO DATA
