X,Y,OBJECTID,Cuadricula,GSM_up,GSM_down,UMTS,Latitud,Longitud,Fecha,DDLat,DDLon,GSM,UMTS_1
218239.918930397,3187215.14104298,144,0,-106,-105,-114,28 46 54N,017 53 10W,2013/11/27 00:00:00+00,"28,78167N","017,88611W",no GPRS y no GSM,Nivel insuficiente
219235.249768581,3187961.35800678,145,0,-112,-112,114,28 47 19N,017 52 34W,2013/11/27 00:00:00+00,"28,78861N","017,87611W",no GPRS y no GSM,Nivel correcto
220429.65752202,3187963.33427518,146,0,-112,-112,-114,28 47 20N,017 51 50W,2013/11/27 00:00:00+00,"28,78889N","017,86389W",no GPRS y no GSM,Nivel insuficiente
221154.243640531,3188747.03535002,147,0,-112,-112,-114,28 47 46N,017 51 24W,2013/11/27 00:00:00+00,"28,79611N","017,85667W",no GPRS y no GSM,Nivel insuficiente
222347.812812933,3188718.40750159,148,0,-106,-106,-114,28 47 46N,017 50 40W,2013/11/27 00:00:00+00,"28,79611N","017,84444W",no GPRS y no GSM,Nivel insuficiente
223438.743148979,3188938.84728637,149,0,-107,-102,-109,28 47 54N,017 50 00W,2013/11/27 00:00:00+00,"28,79833N","017,83333W",no GPRS y dificultad GSM,Dificultad en la comunicación
224602.955044146,3188818.71318053,150,0,-94,-99,-99,28 47 51N,017 49 17W,2013/11/27 00:00:00+00,"28,79750N","017,82139W",GPRS y GSM,Nivel correcto
226451.675360231,3186648.98371554,151,0,-74,-64,-99,28 46 42N,017 48 07W,2013/12/19 00:00:00+00,"28,77833N","017,80194W",GPRS y GSM,Nivel correcto
227292.721609817,3186629.19741758,152,0,-64,-74,-102,28 46 42N,017 47 36W,2013/12/19 00:00:00+00,"28,77833N","017,79333W",GPRS y GSM,Nivel correcto
229021.877720949,3186280.60256897,153,0,-64,-74,-104,28 46 32N,017 46 32W,2013/12/19 00:00:00+00,"28,77556N","017,77556W",GPRS y GSM,Nivel correcto
229321.036062202,3186304.43532323,154,0,-64,-64,-99,28 46 33N,017 46 21W,2013/12/19 00:00:00+00,"28,77583N","017,77250W",GPRS y GSM,Nivel correcto
229908.602983718,3185890.21732348,155,0,-64,-86,-98,28 46 20N,017 45 59W,2013/12/18 00:00:00+00,"28,77222N","017,76639W",GPRS y GSM,Nivel correcto
230691.147028888,3186857.97026583,156,0,-64,-79,-89,28 46 52N,017 45 31W,2013/12/19 00:00:00+00,"28,78111N","017,75861W",GPRS y GSM,Nivel correcto
207672.585612711,3185874.0016015,157,0,-98,-104,-109,28 46 02N,017 59 38W,2013/11/29 00:00:00+00,"28,76722N","017,99389W",no GPRS y dificultad GSM,Dificultad en la comunicación
207672.585612711,3185874.0016015,158,0,-98,-104,-110,28 46 02N,017 59 38W,2013/11/29 00:00:00+00,"28,76722N","017,99389W",no GPRS y dificultad GSM,Dificultad en la comunicación
207950.175233364,3185034.97347548,159,0,-59,-59,-76,28 45 35N,017 59 27W,2013/11/29 00:00:00+00,"28,75972N","017,99083W",GPRS y GSM,Nivel correcto
207950.175233364,3185034.97347548,160,0,-59,-57,-76,28 45 35N,017 59 27W,2013/11/29 00:00:00+00,"28,75972N","017,99083W",GPRS y GSM,Nivel correcto
210439.665170813,3185773.86805456,161,0,-99,-74,-94,28 46 01N,017 57 56W,2013/12/03 00:00:00+00,"28,76694N","017,96556W",GPRS y GSM,Nivel correcto
211493.362633583,3185562.75310342,162,0,-99,-74,-94,28 45 55N,017 57 17W,2013/12/03 00:00:00+00,"28,76528N","017,95472W",GPRS y GSM,Nivel correcto
212026.918996906,3185179.72897681,163,0,-64,-79,-89,28 45 43N,017 56 57W,2013/12/03 00:00:00+00,"28,76194N","017,94917W",GPRS y GSM,Nivel correcto
213368.01317025,3185608.7853676,164,0,-110,-114,-114,28 45 58N,017 56 08W,2013/12/03 00:00:00+00,"28,76611N","017,93556W",no GPRS y no GSM,Nivel insuficiente
214621.537492667,3185793.62066167,165,0,-114,-110,-114,28 46 05N,017 55 22W,2013/12/03 00:00:00+00,"28,76806N","017,92278W",no GPRS y no GSM,Nivel insuficiente
215125.768444085,3185319.02527833,166,0,-94,-104,-109,28 45 50N,017 55 03W,2013/12/03 00:00:00+00,"28,76389N","017,91750W",no GPRS y dificultad GSM,Dificultad en la comunicación
216422.953860275,3186180.89349751,167,0,-94,-104,-114,28 46 19N,017 54 16W,2013/12/20 00:00:00+00,"28,77194N","017,90444W",no GPRS y dificultad GSM,Nivel insuficiente
217950.863634861,3185373.34053147,168,0,-64,-84,-109,28 45 54N,017 53 19W,2013/12/20 00:00:00+00,"28,76500N","017,88861W",GPRS y GSM,Dificultad en la comunicación
218087.28670994,3185400.84232773,169,0,-64,-84,-109,28 45 55N,017 53 14W,2013/12/20 00:00:00+00,"28,76528N","017,88722W",GPRS y GSM,Dificultad en la comunicación
220030.610672668,3184922.45734707,170,0,-94,-84,-109,28 45 41N,017 52 02W,2013/12/20 00:00:00+00,"28,76139N","017,86722W",GPRS y GSM,Dificultad en la comunicación
222230.808057103,3184962.08079737,171,0,-84,-84,-109,28 45 44N,017 50 41W,2013/12/20 00:00:00+00,"28,76222N","017,84472W",GPRS y GSM,Dificultad en la comunicación
222010.04119118,3184813.29902183,172,0,-98,-106,-109,28 45 39N,017 50 49W,2013/12/19 00:00:00+00,"28,76083N","017,84694W",no GPRS y dificultad GSM,Dificultad en la comunicación
222849.042043913,3184700.81714662,173,0,-106,-105,-114,28 45 36N,017 50 18W,2013/12/19 00:00:00+00,"28,76000N","017,83833W",no GPRS y no GSM,Nivel insuficiente
224205.827468041,3184668.53078565,174,0,-98,-106,-114,28 45 36N,017 49 28W,2013/12/19 00:00:00+00,"28,76000N","017,82444W",no GPRS y dificultad GSM,Nivel insuficiente
225596.798481121,3186083.73780433,175,0,-94,-106,-110,28 46 23N,017 48 38W,2013/12/19 00:00:00+00,"28,77306N","017,81056W",no GPRS y dificultad GSM,Dificultad en la comunicación
227484.472458909,3185546.30769221,176,0,-94,-106,-110,28 46 07N,017 47 28W,2013/12/19 00:00:00+00,"28,76861N","017,79111W",no GPRS y dificultad GSM,Dificultad en la comunicación
227484.472458909,3185546.30769221,177,0,-94,-106,-109,28 46 07N,017 47 28W,2013/12/19 00:00:00+00,"28,76861N","017,79111W",no GPRS y dificultad GSM,Dificultad en la comunicación
228571.947374843,3185613.27484447,178,0,-94,-84,-109,28 46 10N,017 46 48W,2013/12/19 00:00:00+00,"28,76944N","017,78000W",GPRS y GSM,Dificultad en la comunicación
229569.398890996,3185312.71236874,179,0,-94,-84,-99,28 46 01N,017 46 11W,2013/12/19 00:00:00+00,"28,76694N","017,76972W",GPRS y GSM,Nivel correcto
230416.957081156,3185570.30249417,180,0,-72,-69,-98,28 46 10N,017 45 40W,2013/12/19 00:00:00+00,"28,76944N","017,76111W",GPRS y GSM,Nivel correcto
230872.498876066,3185313.25656153,181,0,-69,-64,-94,28 46 02N,017 45 23W,2013/12/19 00:00:00+00,"28,76722N","017,75639W",GPRS y GSM,Nivel correcto
230872.498876066,3185313.25656153,182,0,-69,-64,-89,28 46 02N,017 45 23W,2013/12/19 00:00:00+00,"28,76722N","017,75639W",GPRS y GSM,Nivel correcto
209235.671243182,3185403.33838521,183,0,-104,-96,-106,28 45 48N,017 58 40W,2013/11/29 00:00:00+00,"28,76333N","017,97778W",no GPRS y dificultad GSM,Dificultad en la comunicación
207950.175233364,3185034.97347548,184,0,-59,-59,-76,28 45 35N,017 59 27W,2013/11/29 00:00:00+00,"28,75972N","017,99083W",GPRS y GSM,Nivel correcto
207950.175233364,3185034.97347548,185,0,-58,-59,-76,28 45 35N,017 59 27W,2013/11/29 00:00:00+00,"28,75972N","017,99083W",GPRS y GSM,Nivel correcto
209235.671243182,3185403.33838521,186,0,-59,-69,-104,28 45 48N,017 58 40W,2013/11/29 00:00:00+00,"28,76333N","017,97778W",GPRS y GSM,Nivel correcto
210263.557114897,3183066.47403005,187,0,-84,-74,-104,28 44 33N,017 58 00W,2013/12/03 00:00:00+00,"28,74250N","017,96667W",GPRS y GSM,Nivel correcto
211715.424129824,3184663.59377909,188,0,-94,-96,-113,28 45 26N,017 57 08W,2013/12/03 00:00:00+00,"28,75722N","017,95222W",GPRS y GSM,Nivel insuficiente
212500.138335682,3184551.70512996,189,0,-84,-84,-109,28 45 23N,017 56 39W,2013/12/03 00:00:00+00,"28,75639N","017,94417W",GPRS y GSM,Dificultad en la comunicación
213548.652800243,3184125.21667417,190,0,-84,-89,-109,28 45 10N,017 56 00W,2013/12/03 00:00:00+00,"28,75278N","017,93333W",GPRS y GSM,Dificultad en la comunicación
213548.652800243,3184125.21667417,191,0,-84,-89,-109,28 45 10N,017 56 00W,2013/12/03 00:00:00+00,"28,75278N","017,93333W",GPRS y GSM,Dificultad en la comunicación
216868.457780621,3185522.92955296,192,0,-64,-89,-111,28 45 58N,017 53 59W,2013/12/20 00:00:00+00,"28,76611N","017,89972W",GPRS y GSM,Dificultad en la comunicación
218892.394091683,3185011.56969809,193,0,-59,-64,-110,28 45 43N,017 52 44W,2013/12/20 00:00:00+00,"28,76194N","017,87889W",GPRS y GSM,Dificultad en la comunicación
218221.716371832,3184226.6663413,194,0,-70,-70,-109,28 45 17N,017 53 08W,2013/12/20 00:00:00+00,"28,75472N","017,88556W",GPRS y GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,195,0,-94,-114,-111,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
220587.87224669,3184385.2225613,196,0,-106,-105,-114,28 45 24N,017 51 41W,2013/12/20 00:00:00+00,"28,75667N","017,86139W",no GPRS y no GSM,Nivel insuficiente
222379.675597375,3191182.65528295,197,0,-84,-114,-114,28 49 06N,017 50 41W,2013/12/20 00:00:00+00,"28,81833N","017,84472W",no GPRS y dificultad GSM,Nivel insuficiente
223236.276013125,3183859.65889474,198,0,-84,-94,-114,28 45 09N,017 50 03W,2013/12/20 00:00:00+00,"28,75250N","017,83417W",GPRS y GSM,Nivel insuficiente
223859.710278606,3183814.01728845,199,0,-106,-108,-114,28 45 08N,017 49 40W,2013/12/20 00:00:00+00,"28,75222N","017,82778W",no GPRS y no GSM,Nivel insuficiente
224858.699184681,3183574.64276709,200,0,-106,-108,-114,28 45 01N,017 49 03W,2013/12/20 00:00:00+00,"28,75028N","017,81750W",no GPRS y no GSM,Nivel insuficiente
226602.047061669,3183810.80583692,201,0,-74,-82,-109,28 45 10N,017 47 59W,2013/12/19 00:00:00+00,"28,75278N","017,79972W",GPRS y GSM,Dificultad en la comunicación
229076.084420039,3179285.35872171,202,0,-79,-74,-82,28 42 45N,017 46 24W,2013/12/19 00:00:00+00,"28,71250N","017,77333W",GPRS y GSM,Nivel correcto
229076.084420039,3179285.35872171,203,0,-79,-74,-85,28 42 45N,017 46 24W,2013/12/19 00:00:00+00,"28,71250N","017,77333W",GPRS y GSM,Nivel correcto
229690.017570563,3184662.88589101,204,0,-84,-59,-99,28 45 40N,017 46 06W,2013/12/19 00:00:00+00,"28,76111N","017,76833W",GPRS y GSM,Nivel correcto
229679.271464578,3184200.97996104,205,0,-97,-64,-89,28 45 25N,017 46 06W,2013/12/19 00:00:00+00,"28,75694N","017,76833W",GPRS y GSM,Nivel correcto
230928.223659515,3184202.80263056,206,0,-84,-59,-95,28 45 26N,017 45 20W,2013/12/19 00:00:00+00,"28,75722N","017,75556W",GPRS y GSM,Nivel correcto
231617.279088732,3184649.01567363,207,0,-64,-69,-102,28 45 41N,017 44 55W,2013/12/19 00:00:00+00,"28,76139N","017,74861W",GPRS y GSM,Nivel correcto
231617.279088732,3184649.01567363,208,0,-69,-64,-99,28 45 41N,017 44 55W,2013/12/19 00:00:00+00,"28,76139N","017,74861W",GPRS y GSM,Nivel correcto
207754.820023133,3183745.59443383,209,0,-99,-94,-110,28 44 53N,017 59 33W,2013/12/01 00:00:00+00,"28,74806N","017,99250W",GPRS y GSM,Dificultad en la comunicación
207754.820023133,3183745.59443383,210,0,-94,-99,-109,28 44 53N,017 59 33W,2013/12/01 00:00:00+00,"28,74806N","017,99250W",GPRS y GSM,Dificultad en la comunicación
209746.320666058,3183017.74408591,211,0,-94,-99,-110,28 44 31N,017 58 19W,2013/12/01 00:00:00+00,"28,74194N","017,97194W",GPRS y GSM,Dificultad en la comunicación
209920.031950692,3186711.31290486,212,0,-76,-69,-109,28 46 31N,017 58 16W,2013/11/29 00:00:00+00,"28,77528N","017,97111W",GPRS y GSM,Dificultad en la comunicación
209920.031950692,3186711.31290486,213,0,-76,-69,-109,28 46 31N,017 58 16W,2013/11/29 00:00:00+00,"28,77528N","017,97111W",GPRS y GSM,Dificultad en la comunicación
211094.244569614,3182614.38583882,214,0,-84,-84,-99,28 44 19N,017 57 29W,2013/12/03 00:00:00+00,"28,73861N","017,95806W",GPRS y GSM,Nivel correcto
213042.664984731,3183428.95632351,215,0,-84,-84,-99,28 44 47N,017 56 18W,2013/12/03 00:00:00+00,"28,74639N","017,93833W",GPRS y GSM,Nivel correcto
213965.443976312,3183406.21336566,216,0,-94,-101,-109,28 44 47N,017 55 44W,2013/12/03 00:00:00+00,"28,74639N","017,92889W",GPRS y GSM,Dificultad en la comunicación
213965.443976312,3183406.21336566,217,0,-94,-101,-109,28 44 47N,017 55 44W,2013/12/03 00:00:00+00,"28,74639N","017,92889W",GPRS y GSM,Dificultad en la comunicación
215706.194235997,3183517.58106922,218,0,-106,-107,-114,28 44 52N,017 54 40W,2013/12/19 00:00:00+00,"28,74778N","017,91111W",no GPRS y no GSM,Nivel insuficiente
217743.920298259,3183560.3622497,219,0,-98,-103,-107,28 44 55N,017 53 25W,2013/12/19 00:00:00+00,"28,74861N","017,89028W",GPRS y GSM,Dificultad en la comunicación
217689.641455996,3183561.68043997,220,0,-98,-103,-110,28 44 55N,017 53 27W,2013/12/19 00:00:00+00,"28,74861N","017,89083W",GPRS y GSM,Dificultad en la comunicación
217689.641455996,3183561.68043997,221,0,-101,-107,-111,28 44 55N,017 53 27W,2013/12/19 00:00:00+00,"28,74861N","017,89083W",no GPRS y dificultad GSM,Dificultad en la comunicación
220587.87224669,3184385.2225613,222,0,-106,-105,-114,28 45 24N,017 51 41W,2013/12/20 00:00:00+00,"28,75667N","017,86139W",no GPRS y no GSM,Nivel insuficiente
222379.675597375,3191182.65528295,223,0,-84,-114,-109,28 49 06N,017 50 41W,2013/12/20 00:00:00+00,"28,81833N","017,84472W",no GPRS y dificultad GSM,Dificultad en la comunicación
223484.944633346,3182898.56733886,224,0,-94,-104,-114,28 44 38N,017 49 53W,2013/12/20 00:00:00+00,"28,74389N","017,83139W",no GPRS y dificultad GSM,Nivel insuficiente
224142.255599682,3181989.41050438,225,0,-114,-99,-114,28 44 09N,017 49 28W,2013/12/20 00:00:00+00,"28,73583N","017,82444W",no GPRS y dificultad GSM,Nivel insuficiente
223540.741171241,3181818.82213084,226,0,-114,-114,-114,28 44 03N,017 49 50W,2013/12/20 00:00:00+00,"28,73417N","017,83056W",no GPRS y no GSM,Nivel insuficiente
224656.332670241,3183055.63615869,227,0,-99,-106,-119,28 44 44N,017 49 10W,2013/12/20 00:00:00+00,"28,74556N","017,81944W",no GPRS y dificultad GSM,Nivel insuficiente
225574.231682061,3181678.23062862,228,0,-114,-119,-110,28 44 00N,017 48 35W,2013/12/20 00:00:00+00,"28,73333N","017,80972W",no GPRS y no GSM,Dificultad en la comunicación
229076.084420039,3179285.35872171,229,0,-79,-74,-104,28 42 45N,017 46 24W,2013/12/19 00:00:00+00,"28,71250N","017,77333W",GPRS y GSM,Nivel correcto
229243.542849636,3182978.7056245,230,0,-99,-97,-109,28 44 45N,017 46 21W,2013/12/20 00:00:00+00,"28,74583N","017,77250W",GPRS y GSM,Dificultad en la comunicación
230489.061540637,3182826.52385478,231,0,-99,-94,-110,28 44 41N,017 45 35W,2013/12/20 00:00:00+00,"28,74472N","017,75972W",GPRS y GSM,Dificultad en la comunicación
231361.770014924,3182991.18507294,232,0,-59,-59,-84,28 44 47N,017 45 03W,2013/12/20 00:00:00+00,"28,74639N","017,75083W",GPRS y GSM,Nivel correcto
232464.514674084,3182534.4209568,233,0,-74,-64,-94,28 44 33N,017 44 22W,2013/12/20 00:00:00+00,"28,74250N","017,73944W",GPRS y GSM,Nivel correcto
233175.077029146,3182733.75875722,234,0,-99,-104,-114,28 44 40N,017 43 56W,2013/12/20 00:00:00+00,"28,74444N","017,73222W",no GPRS y dificultad GSM,Nivel insuficiente
208810.372038877,3182517.27455001,235,0,-99,-97,-110,28 44 14N,017 58 53W,2013/12/01 00:00:00+00,"28,73722N","017,98139W",GPRS y GSM,Dificultad en la comunicación
209720.716295648,3183080.01501067,236,0,-74,-79,-104,28 44 33N,017 58 20W,2013/11/29 00:00:00+00,"28,74250N","017,97222W",GPRS y GSM,Nivel correcto
210168.042281969,3183592.72208738,237,0,-77,-69,-114,28 44 50N,017 58 04W,2013/11/29 00:00:00+00,"28,74722N","017,96778W",GPRS y GSM,Nivel insuficiente
211137.055890029,3182151.09120015,238,0,-94,-92,-109,28 44 04N,017 57 27W,2013/12/01 00:00:00+00,"28,73444N","017,95750W",GPRS y GSM,Dificultad en la comunicación
211304.50667267,3182331.8253913,239,0,-84,-74,-104,28 44 10N,017 57 21W,2013/12/03 00:00:00+00,"28,73611N","017,95583W",GPRS y GSM,Nivel correcto
211544.978909091,3182171.78173996,240,0,-99,-94,-109,28 44 05N,017 57 12W,2013/12/01 00:00:00+00,"28,73472N","017,95333W",GPRS y GSM,Dificultad en la comunicación
211927.280913835,3182254.75132889,241,0,-99,-99,-114,28 44 08N,017 56 58W,2013/12/03 00:00:00+00,"28,73556N","017,94944W",GPRS y GSM,Nivel insuficiente
216534.881412583,3181864.20619583,242,0,-114,-119,-114,28 43 59N,017 54 08W,2013/12/20 00:00:00+00,"28,73306N","017,90222W",no GPRS y no GSM,Nivel insuficiente
216534.881412583,3181864.20619583,243,0,-114,-119,-114,28 43 59N,017 54 08W,2013/12/20 00:00:00+00,"28,73306N","017,90222W",no GPRS y no GSM,Nivel insuficiente
219615.398272995,3184593.52640426,244,0,-94,-114,-109,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,245,0,-94,-114,-110,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,246,0,-94,-114,-110,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,247,0,-94,-114,-109,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,248,0,-94,-114,-110,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,249,0,-94,-114,-114,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Nivel insuficiente
223775.515935734,3181412.68991856,250,0,-94,-114,-114,28 43 50N,017 49 41W,2013/12/20 00:00:00+00,"28,73056N","017,82806W",no GPRS y dificultad GSM,Nivel insuficiente
225101.16754555,3181196.41789712,251,0,-84,-92,-104,28 43 44N,017 48 52W,2013/12/20 00:00:00+00,"28,72889N","017,81444W",GPRS y GSM,Nivel correcto
225574.231682061,3181678.23062862,252,0,-114,-119,-114,28 44 00N,017 48 35W,2013/12/20 00:00:00+00,"28,73333N","017,80972W",no GPRS y no GSM,Nivel insuficiente
226626.267410363,3181376.15706177,253,0,-114,-119,-114,28 43 51N,017 47 56W,2013/12/20 00:00:00+00,"28,73083N","017,79889W",no GPRS y no GSM,Nivel insuficiente
228309.118454325,3181336.73056844,254,0,-89,-92,-104,28 43 51N,017 46 54W,2013/12/20 00:00:00+00,"28,73083N","017,78167W",GPRS y GSM,Nivel correcto
229382.008712016,3181927.92857179,255,0,-84,-78,-104,28 44 11N,017 46 15W,2013/12/20 00:00:00+00,"28,73639N","017,77083W",GPRS y GSM,Nivel correcto
230356.229493957,3181782.0599164,256,0,-84,-74,-108,28 44 07N,017 45 39W,2013/12/20 00:00:00+00,"28,73528N","017,76083W",GPRS y GSM,Dificultad en la comunicación
231342.559698512,3182159.76256302,257,0,-79,-74,-99,28 44 20N,017 45 03W,2013/12/20 00:00:00+00,"28,73889N","017,75083W",GPRS y GSM,Nivel correcto
231967.492703925,3182176.15147857,258,0,-79,-64,-94,28 44 21N,017 44 40W,2013/12/20 00:00:00+00,"28,73917N","017,74444W",GPRS y GSM,Nivel correcto
233206.747245088,3181747.13240964,259,0,-84,-74,-109,28 44 08N,017 43 54W,2013/12/20 00:00:00+00,"28,73556N","017,73167W",GPRS y GSM,Dificultad en la comunicación
233206.747245088,3181747.13240964,260,0,-84,-74,-109,28 44 08N,017 43 54W,2013/12/20 00:00:00+00,"28,73556N","017,73167W",GPRS y GSM,Dificultad en la comunicación
209690.981432101,3180800.38875581,261,0,-84,-74,-104,28 43 19N,017 58 19W,2013/12/01 00:00:00+00,"28,72194N","017,97194W",GPRS y GSM,Nivel correcto
209690.981432101,3180800.38875581,262,0,-84,-74,-104,28 43 19N,017 58 19W,2013/12/01 00:00:00+00,"28,72194N","017,97194W",GPRS y GSM,Nivel correcto
210149.614788761,3182853.60419641,263,0,-54,-59,-104,28 44 26N,017 58 04W,2013/11/29 00:00:00+00,"28,74056N","017,96778W",GPRS y GSM,Nivel correcto
210149.614788761,3182853.60419641,264,0,-54,-64,-106,28 44 26N,017 58 04W,2013/11/29 00:00:00+00,"28,74056N","017,96778W",GPRS y GSM,Dificultad en la comunicación
211190.198626559,3181009.60346757,265,0,-79,-84,-104,28 43 27N,017 57 24W,2013/12/01 00:00:00+00,"28,72417N","017,95667W",GPRS y GSM,Nivel correcto
212945.60504712,3180596.38448889,266,0,-99,-94,-110,28 43 15N,017 56 19W,2013/11/29 00:00:00+00,"28,72083N","017,93861W",GPRS y GSM,Dificultad en la comunicación
218218.069931465,3180714.02507317,267,0,-106,-105,-114,28 43 23N,017 53 05W,2013/11/29 00:00:00+00,"28,72306N","017,88472W",no GPRS y no GSM,Nivel insuficiente
218218.069931465,3180714.02507317,268,0,-106,-105,-114,28 43 23N,017 53 05W,2013/11/29 00:00:00+00,"28,72306N","017,88472W",no GPRS y no GSM,Nivel insuficiente
218218.069931465,3180714.02507317,269,0,-106,-105,-110,28 43 23N,017 53 05W,2013/11/29 00:00:00+00,"28,72306N","017,88472W",no GPRS y no GSM,Dificultad en la comunicación
219303.906085497,3180687.78040477,270,0,-114,-114,-114,28 43 23N,017 52 25W,2013/11/18 00:00:00+00,"28,72306N","017,87361W",no GPRS y no GSM,Nivel insuficiente
219310.592267532,3180964.93645067,271,0,-79,-84,-104,28 43 32N,017 52 25W,2013/11/18 00:00:00+00,"28,72556N","017,87361W",GPRS y GSM,Nivel correcto
220179.236325982,3180944.01269575,272,0,-114,-114,-114,28 43 32N,017 51 53W,2013/11/18 00:00:00+00,"28,72556N","017,86472W",no GPRS y no GSM,Nivel insuficiente
220998.017770636,3181109.22496311,273,0,-114,-114,-114,28 43 38N,017 51 23W,2013/11/18 00:00:00+00,"28,72722N","017,85639W",no GPRS y no GSM,Nivel insuficiente
220998.017770636,3181109.22496311,274,0,-114,-114,-111,28 43 38N,017 51 23W,2013/11/18 00:00:00+00,"28,72722N","017,85639W",no GPRS y no GSM,Dificultad en la comunicación
219615.398272995,3184593.52640426,275,0,-94,-114,-114,28 45 30N,017 52 17W,2013/12/20 00:00:00+00,"28,75833N","017,87139W",no GPRS y dificultad GSM,Nivel insuficiente
224503.278987903,3181179.74985464,276,0,-114,-114,-114,28 43 43N,017 49 14W,2013/12/20 00:00:00+00,"28,72861N","017,82056W",no GPRS y no GSM,Nivel insuficiente
224503.278987903,3181179.74985464,277,0,-94,-114,-110,28 43 43N,017 49 14W,2013/12/20 00:00:00+00,"28,72861N","017,82056W",no GPRS y dificultad GSM,Dificultad en la comunicación
225900.238598797,3180530.52714408,278,0,-84,-89,-106,28 43 23N,017 48 22W,2013/12/20 00:00:00+00,"28,72306N","017,80611W",GPRS y GSM,Dificultad en la comunicación
227401.142859499,3180834.188285,279,0,-79,-92,-104,28 43 34N,017 47 27W,2013/12/20 00:00:00+00,"28,72611N","017,79083W",GPRS y GSM,Nivel correcto
228373.292146246,3180595.77795224,280,0,-104,-104,-114,28 43 27N,017 46 51W,2013/12/20 00:00:00+00,"28,72417N","017,78083W",no GPRS y no GSM,Nivel insuficiente
229746.92354212,3180101.64028224,281,0,-84,-94,-109,28 43 12N,017 46 00W,2013/12/20 00:00:00+00,"28,72000N","017,76667W",GPRS y GSM,Dificultad en la comunicación
229560.48455562,3180260.02236838,282,0,-112,-110,-114,28 43 17N,017 46 07W,2013/12/20 00:00:00+00,"28,72139N","017,76861W",no GPRS y no GSM,Nivel insuficiente
231560.270921002,3183356.317852,283,0,-100,-74,-94,28 44 59N,017 44 56W,2013/12/20 00:00:00+00,"28,74972N","017,74889W",GPRS y GSM,Nivel correcto
232989.198472751,3180550.55947562,284,0,-94,-99,-104,28 43 29N,017 44 01W,2013/12/20 00:00:00+00,"28,72472N","017,73361W",GPRS y GSM,Nivel correcto
232884.865447952,3180737.81033763,285,0,-79,-84,-110,28 43 35N,017 44 05W,2013/12/20 00:00:00+00,"28,72639N","017,73472W",GPRS y GSM,Dificultad en la comunicación
209968.880992311,3179961.43641374,286,0,-84,-84,-109,28 42 52N,017 58 08W,2013/12/01 00:00:00+00,"28,71444N","017,96889W",GPRS y GSM,Dificultad en la comunicación
210352.802935158,3180105.953858,287,0,-79,-84,-109,28 42 57N,017 57 54W,2013/12/01 00:00:00+00,"28,71583N","017,96500W",GPRS y GSM,Dificultad en la comunicación
210946.643920022,3181046.46708196,288,0,-94,-99,-109,28 43 28N,017 57 33W,2013/12/01 00:00:00+00,"28,72444N","017,95917W",GPRS y GSM,Dificultad en la comunicación
211190.198626559,3181009.60346757,289,0,-79,-84,-104,28 43 27N,017 57 24W,2013/12/01 00:00:00+00,"28,72417N","017,95667W",GPRS y GSM,Nivel correcto
212892.630040374,3179549.98840724,290,0,-99,-94,-107,28 42 41N,017 56 20W,2013/12/01 00:00:00+00,"28,71139N","017,93889W",GPRS y GSM,Dificultad en la comunicación
213870.01713421,3179525.92411711,291,0,-101,-114,-109,28 42 41N,017 55 44W,2013/12/01 00:00:00+00,"28,71139N","017,92889W",no GPRS y dificultad GSM,Dificultad en la comunicación
215598.555130469,3179113.79890559,292,0,-101,-114,-109,28 42 29N,017 54 40W,2013/12/01 00:00:00+00,"28,70806N","017,91111W",no GPRS y dificultad GSM,Dificultad en la comunicación
214955.997252004,3179499.28252081,293,0,-114,-114,-114,28 42 41N,017 55 04W,2013/12/01 00:00:00+00,"28,71139N","017,91778W",no GPRS y no GSM,Nivel insuficiente
213894.139320358,3179402.07331306,294,0,-114,-114,-114,28 42 37N,017 55 43W,2013/12/01 00:00:00+00,"28,71028N","017,92861W",no GPRS y no GSM,Nivel insuficiente
218218.069931465,3180714.02507317,295,0,-101,-105,-110,28 43 23N,017 53 05W,2013/11/29 00:00:00+00,"28,72306N","017,88472W",no GPRS y dificultad GSM,Dificultad en la comunicación
219442.283844169,3179667.61509119,296,0,-101,-105,-110,28 42 50N,017 52 19W,2013/11/29 00:00:00+00,"28,71389N","017,87194W",no GPRS y dificultad GSM,Dificultad en la comunicación
