X,Y,OBJECTID,Cuadricula,GSM_up,GSM_down,UMTS,Latitud,Longitud,Fecha,DDLat,DDLon,GSM,UMTS_1
219241.600146635,3192706.48503564,16,0,-74,-64,-109,28 49 53N,017 52 38W,2013/12/07 00:00:00+00,"28,83139N","017,87722W",GPRS y GSM,Dificultad en la comunicación
220474.152358161,3192060.41202876,17,0,-64,-74,-110,28 49 33N,017 51 52W,2013/12/07 00:00:00+00,"28,82583N","017,86444W",GPRS y GSM,Dificultad en la comunicación
221426.277575443,3192160.7332625,18,0,-74,-69,-109,28 49 37N,017 51 17W,2013/12/07 00:00:00+00,"28,82694N","017,85472W",GPRS y GSM,Dificultad en la comunicación
221632.129271805,3191693.59173305,19,0,-74,-67,-107,28 49 22N,017 51 09W,2013/12/07 00:00:00+00,"28,82278N","017,85250W",GPRS y GSM,Dificultad en la comunicación
221855.0,3191934.74301706,20,0,-64,-64,-104,28 49 30N,017 51 01W,2013/12/06 00:00:00+00,"28,82500N","017,85028W",GPRS y GSM,Nivel correcto
223901.395178039,3192409.61019519,21,0,-74,-69,-108,28 49 47N,017 49 46W,2013/12/17 00:00:00+00,"28,82972N","017,82944W",GPRS y GSM,Dificultad en la comunicación
224447.408240114,3192550.6711203,22,0,-79,-74,-104,28 49 52N,017 49 26W,2013/12/17 00:00:00+00,"28,83111N","017,82389W",GPRS y GSM,Nivel correcto
227659.514462059,3192998.5040951,24,0,-100,-64,-104,28 50 09N,017 47 28W,2013/12/17 00:00:00+00,"28,83583N","017,79111W",GPRS y GSM,Nivel correcto
228078.90459842,3192372.42597321,25,0,-64,-69,-104,28 49 49N,017 47 12W,2013/12/17 00:00:00+00,"28,83028N","017,78667W",GPRS y GSM,Nivel correcto
229049.34886487,3192103.20085976,26,0,-74,-79,-104,28 49 41N,017 46 36W,2013/12/17 00:00:00+00,"28,82806N","017,77667W",GPRS y GSM,Nivel correcto
211814.577409318,3191933.59089183,27,0,-84,-89,-105,28 49 22N,017 57 11W,2013/12/05 00:00:00+00,"28,82278N","017,95306W",GPRS y GSM,Dificultad en la comunicación
212620.945347932,3192714.76649875,28,0,-64,-64,-104,28 49 48N,017 56 42W,2013/12/06 00:00:00+00,"28,83000N","017,94500W",GPRS y GSM,Nivel correcto
213480.37267182,3192354.51042008,29,0,-74,-64,-104,28 49 37N,017 56 10W,2013/12/06 00:00:00+00,"28,82694N","017,93611W",GPRS y GSM,Nivel correcto
221855.0,3191934.74301706,30,0,-64,-64,-104,28 49 30N,017 51 01W,2013/12/06 00:00:00+00,"28,82500N","017,85028W",GPRS y GSM,Nivel correcto
216999.879947319,3192021.49310147,31,0,-74,-84,-104,28 49 29N,017 54 00W,2013/12/06 00:00:00+00,"28,82472N","017,90000W",GPRS y GSM,Nivel correcto
217240.200239066,3191861.55529858,32,0,-64,-94,-104,28 49 24N,017 53 51W,2013/12/07 00:00:00+00,"28,82333N","017,89750W",GPRS y GSM,Nivel correcto
217521.161329884,3192255.2856674,33,0,-64,-64,-109,28 49 37N,017 53 41W,2013/12/07 00:00:00+00,"28,82694N","017,89472W",GPRS y GSM,Dificultad en la comunicación
218788.281911425,3191916.32395295,34,0,-89,-84,-105,28 49 27N,017 52 54W,2013/12/07 00:00:00+00,"28,82417N","017,88167W",GPRS y GSM,Dificultad en la comunicación
220474.152358161,3192060.41202876,35,0,-64,-74,-108,28 49 33N,017 51 52W,2013/12/07 00:00:00+00,"28,82583N","017,86444W",GPRS y GSM,Dificultad en la comunicación
221426.277575443,3192160.7332625,36,0,-74,-69,-108,28 49 37N,017 51 17W,2013/12/07 00:00:00+00,"28,82694N","017,85472W",GPRS y GSM,Dificultad en la comunicación
221632.129271805,3191693.59173305,37,0,-74,-67,-104,28 49 22N,017 51 09W,2013/12/07 00:00:00+00,"28,82278N","017,85250W",GPRS y GSM,Nivel correcto
