Fondo;Descripción;Centro;Sección;Programa;Subconcep.;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Credito Inicial;Modifcaciones ;Crédito Definitivo ;Crédito Disponible ;Retenciones Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado;Pagos Real
;;1;2;23270;60900;2019/000366;2019/000366;MEMORIAL A LAS PERSONAS FUSILADAS Y EJECUTADAS POR LA DICTADURA MILITAR EN MADRID;215;CIUDAD LINEAL;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;333.620,93;333.620,93;27.167,31;0;306.453,62;306.453,62;306.453,62;0;11.400,62
;;1;2;23270;60900;2019/000448;2019/000448;MEMORIAL A HOMBRES Y MUJERES DE MADRID DEPORTADOS A CAMPOS CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;300.000,00;300.000,00;300.000,00;0;0;0;0;0;0
;;1;2;23270;60900;2019/000554;2019/000554;PLACAS CONMEMORATIVAS VÍCTIMAS ESPAÑOLAS EN EL CAMPO CONCENTRACIÓN MAUTHAUSEN;999;NO DISTRITALIZABLE;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;323,07;323,07;0;0;323,07;323,07;323,07;0;323,07
;;1;2;23270;60900;2019/000555;2019/000555;"""PIEDRAS DE TROPIEZO"" HOMENAJE MADRILEÑOS DEPORTADOS CAMPOS CONCENTRACIÓN NAZI";998;VARIOS DISTRITOS;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;1.056,00;1.056,00;0;0;1.056,00;1.056,00;1.056,00;0;1.056,00
;;1;2;91216;60900;2019/000249;2019/000249;CUADROS Y PLACAS DE ALCALDES DE MADRID EN PLAZA DE LA VILLA, 4;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;40.000,00;0;40.000,00;40.000,00;0;0;0;0;0;0
;;1;2;91230;62302;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;1.500,00;1.500,00;225;0;1.275,00;1.275,00;1.275,00;0;0
;;1;2;91230;62500;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;6.000,00;0;6.000,00;545,11;0;5.454,89;5.454,89;5.454,89;0;534,06
;;1;2;91230;62599;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5.000,00;0;5.000,00;1.851,54;0;3.148,46;3.148,46;3.148,46;0;3.148,46
;;1;2;91230;62601;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;500;0;500;500;0;0;0;0;0;0
;;1;2;91230;63600;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;110.000,00;-1.500,00;108.500,00;12.382,44;0;96.117,56;70.082,67;70.082,67;0;70.082,67
