Fondo;Descripción;Centro;Sección;Programa;Subconcep.;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Credito Inicial;Modifcaciones ;Crédito Definitivo ;Crédito Disponible ;Retenciones Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado;Pagos Real
;;1;2;91240;62500;2019/000247;2019/000247;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;20.000,00;0;20.000,00;6.984,09;0;13.015,91;13.015,91;13.015,91;0;7.041,87
;;1;2;91240;62599;2019/000247;2019/000247;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7.000,00;0;7.000,00;3.559,69;0;3.440,31;3.440,31;3.440,31;0;2.890,51
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;3;92222;62500;2018/001105;2018/001105;EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;5.675,05;5.675,05;0;0;5.675,05;5.675,05;5.675,03;0;5.675,03
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;17101;61921;2018/005025;2018/005025;IFS-RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DEL PAISAJE;209;MONCLOA-ARAVACA;9;MEDIO AMBIENTE;0;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;105.305,65;105.305,65;0;0;105.305,65;60.053,35;60.053,35;0;10.285,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;62599;2018/006085;2018/006085;IFS-SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. MOBILIARIO;998;VARIOS DISTRITOS;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;35.229,15;35.229,15;0;0;35.229,15;35.229,15;35.229,15;0;35.229,15
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/006000;2018/006000;IFS-TECNOLOGÍA INNOVADORA APLICADA A LA DISCAPACIDAD AUDITIVA SEVERA;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;199.045,00;199.045,00;0;0;199.045,00;199.045,00;199.045,00;0;199.045,00
;;1;12;92012;62400;2019/000027;2019/000027;SERVICIOS GERENCIA DE LA CIUDAD. FURGONETAS DIVISION DE MONTAJES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;31.067,92;31.067,92;0;0;31.067,92;31.067,92;31.067,92;0;31.067,92
;;1;12;92012;62500;2019/000029;2019/000029;SERVICIOS GERENCIA DE LA CIUDAD. MOBILIARIO OFICINAS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;84.529,55;84.529,55;35.530,60;0;48.998,95;41.072,08;41.072,08;0;41.072,08
;;1;12;92012;62599;2019/000024;2019/000024;SERVICIOS GERENCIA DE LA CIUDAD. ELEMENTOS AUDIOVISUALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;115.000,00;115.000,00;33.164,31;0;81.835,69;81.835,69;81.835,69;0;0
;;1;12;92012;62599;2019/000385;2019/000385;SERVICIOS GERENCIA CIUDAD. VITRINAS EXPOSITORAS TROFEOS DEPORTIVOS DE LA CIUDAD;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;389,25;389,25;8,1;0;381,15;0;0;0;0
;;1;12;92012;62599;2019/000770;2019/000770;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS COORDINACIÓN GENERAL DE LA ALCALDÍA;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;15.000,00;15.000,00;3.223,31;0;11.776,69;11.776,69;11.776,69;0;9.780,19
;;1;12;92012;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;14.065,49;14.065,49;1.655,08;0;12.410,41;12.410,41;12.410,41;0;7.600,66
4;SC Y CE FINANC. CON RTG;1;12;93303;63200;2019/003966;2019/003966;IFS-EDIFICIO PLAZA DE LA VILLA, 5. AMAESTRAMIENTO DE LLAVES;201;CENTRO;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;19.000,00;19.000,00;11.138,62;0;7.861,38;7.861,38;7.861,08;0;0
4;SC Y CE FINANC. CON RTG;1;12;93303;63200;2019/003967;2019/003967;IFS-PABELLÓN JARDINES CECILIO RODRÍGUEZ. SUSTITUCIÓN VIGAS DETERIORADAS;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;56.870,00;56.870,00;39.143,50;0;17.726,50;17.726,50;17.726,50;0;17.726,50
;;1;16;92000;62400;2019/000027;2019/000027;SERVICIOS GERENCIA DE LA CIUDAD. FURGONETAS DIVISION DE MONTAJES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;85.000,00;-61.597,47;23.402,53;0;0;23.402,53;23.402,53;23.402,53;0;23.402,53
;;1;16;92000;62500;2019/000029;2019/000029;SERVICIOS GERENCIA DE LA CIUDAD. MOBILIARIO OFICINAS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5.000,00;-5.000,00;0;0;0;0;0;0;0;0
;;1;16;92000;62599;2019/000024;2019/000024;SERVICIOS GERENCIA DE LA CIUDAD. ELEMENTOS AUDIOVISUALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15.000,00;-15.000,00;0;0;0;0;0;0;0;0
;;1;16;92000;62599;2019/000385;2019/000385;SERVICIOS GERENCIA CIUDAD. VITRINAS EXPOSITORAS TROFEOS DEPORTIVOS DE LA CIUDAD;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;14.610,75;14.610,75;0;0;14.610,75;14.610,75;14.610,75;0;14.610,75
;;1;16;92000;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1.653,00;-1.653,00;0;0;0;0;0;0;0;0
;;1;16;92005;62599;2019/000416;2019/000416;EQUIPAMIENTO SERVICIOS RELACIONES LABORALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;10.649,82;10.649,82;0;0;10.649,82;10.649,82;10.649,82;0;10.649,82
;;1;20;92010;62500;2019/000069;2019/000069;EQUIPAMIENTO SERVICIOS PORTAVOZ, COORDINACIÓN JUNTA GOBIERNO Y RELACIONES PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;18.945,05;18.945,05;18.255,35;0;689,7;689,7;689,7;0;0
;;1;20;92010;62500;2019/000072;2019/000072;EQUIPAMIENTO SERVICIOS PARTICIPACIÓN CIUDADANA, TRANSPARENCIA Y GOBIERNO ABIERTO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;13.274,04;13.274,04;0;0;13.274,04;13.274,04;13.274,04;0;0
;;1;20;92010;62500;2019/000560;2019/000560;EQUIPAMIENTO SERVICIOS COORDINACIÓN TERRITORIAL Y COOPERACIÓN PÚBLICO-SOCIAL;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;5.609,56;5.609,56;0;0;5.609,56;5.609,56;5.609,56;0;5.609,56
;;1;20;92010;62599;2019/000069;2019/000069;EQUIPAMIENTO SERVICIOS PORTAVOZ, COORDINACIÓN JUNTA GOBIERNO Y RELACIONES PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;589,82;589,82;126,45;0;463,37;463,37;463,37;0;463,37
;;1;20;92010;62599;2019/000560;2019/000560;EQUIPAMIENTO SERVICIOS COORDINACIÓN TERRITORIAL Y COOPERACIÓN PÚBLICO-SOCIAL;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;437,41;437,41;0;0;437,41;437,41;437,41;0;437,41
;;1;21;92208;62599;2019/000300;2019/000300;EQUIPAMIENTO CENTRO DE RECURSOS PARA ASOCIACIONES;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;3;EDIFICIOS PARA EL USO GENERAL;;;;;;;0;40.000,00;40.000,00;40.000,00;0;0;0;0;0;0
;;1;21;92401;62600;2019/000300;2019/000300;EQUIPAMIENTO CENTRO DE RECURSOS PARA ASOCIACIONES;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;3;EDIFICIOS PARA EL USO GENERAL;;;;;;;0;40.000,00;40.000,00;40.000,00;0;0;0;0;0;0
;;1;21;92501;62500;2019/000226;2019/000226;OFICINA ATENCIÓN CIUDADANAO LÍNEA MADRID CHAMBERÍ. MOBILIARIO;207;CHAMBERI;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;33.281,64;33.281,64;32.255,56;0;1.026,08;1.026,08;1.026,08;0;0
;;1;21;92501;62500;2019/000227;2019/000227;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;0,01;0,01;0,01;0;0;0;0;0;0
;;1;21;92501;62500;2019/000227;2019/050227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID FUENCARRAL-EL PARDO;208;FUENCARRAL-EL PARDO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;7.140,94;7.140,94;0;0;7.140,94;7.140,94;7.140,94;0;0
;;1;21;92501;62500;2019/000227;2019/070227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID LATINA;210;LATINA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;5.293,50;5.293,50;0;0;5.293,50;5.293,50;5.293,50;0;0
;;1;21;92501;62500;2019/000227;2019/090227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID NUMANCIA;213;PUENTE DE VALLECAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;332,75;332,75;0;0;332,75;332,75;332,75;0;0
;;1;21;92501;62500;2019/000227;2019/150227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID VICÁLVARO;219;VICALVARO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;1.240,25;1.240,25;0;0;1.240,25;1.240,25;1.240,25;0;0
;;1;21;92501;62500;2019/000227;2019/170227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID ARGANZUELA;202;ARGANZUELA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;2.266,33;2.266,33;0;0;2.266,33;2.266,33;2.266,33;0;0
;;1;21;92501;62500;2019/000227;2019/180227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID MORATALAZ;214;MORATALAZ;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;844,58;844,58;0;0;844,58;844,58;844,58;0;0
;;1;21;92501;62599;2019/000230;2019/000230;OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID RETIRO. OTRO MOBILIARIO Y ENSERES;203;RETIRO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;30.000,00;30.000,00;30.000,00;0;0;0;0;0;0
;;1;21;92501;62600;2019/000227;2019/000227;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;331,68;331,68;331,68;0;0;0;0;0;0
;;1;21;92501;62600;2019/000227;2019/020227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID BARAJAS;221;BARAJAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/030227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CARABANCHEL;211;CARABANCHEL;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;1.370,64;1.370,64;0;0;1.370,64;1.370,64;1.370,63;0;0
;;1;21;92501;62600;2019/000227;2019/040227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CHAMARTÍN;205;CHAMARTIN;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/050227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID FUENCARRAL-EL PARDO;208;FUENCARRAL-EL PARDO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/060227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID HORTALEZA;216;HORTALEZA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/070227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID LATINA;210;LATINA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/080227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID MONCLOA-ARAVACA;209;MONCLOA-ARAVACA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/090227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID NUMANCIA;213;PUENTE DE VALLECAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/100227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID PUENTE DE VALLECAS;213;PUENTE DE VALLECAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/110227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID RETIRO;203;RETIRO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/120227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID SAN BLAS-CANILLEJAS;220;SAN BLAS-CANILLEJAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/130227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID TETUÁN;206;TETUAN;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;1.370,64;1.370,64;0;0;1.370,64;1.370,64;1.370,64;0;0
;;1;21;92501;62600;2019/000227;2019/150227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID VICÁLVARO;219;VICALVARO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/160227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID VILLA VALLECAS;218;VILLA DE VALLECAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/170227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID ARGANZUELA;202;ARGANZUELA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/180227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID MORATALAZ;214;MORATALAZ;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/190227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CENTRO;201;CENTRO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/200227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CIUDAD LINEAL;215;CIUDAD LINEAL;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;1.370,64;1.370,64;0;0;1.370,64;1.370,64;1.370,64;0;0
;;1;21;92501;62600;2019/000227;2019/210227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID VILLAVERDE;217;VILLAVERDE;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;1.370,64;1.370,64;0;0;1.370,64;1.370,64;1.370,64;0;0
;;1;21;92501;62600;2019/000227;2019/220227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID SALAMANCA;204;SALAMANCA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/230227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CHAMBERÍ;207;CHAMBERI;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62600;2019/000227;2019/240227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID SANCHINARRO;216;HORTALEZA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;685,32;685,32;0;0;685,32;685,32;685,32;0;0
;;1;21;92501;62901;2019/000225;2019/000225;OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CHAMBERÍ. SEÑALIZACIÓN;207;CHAMBERI;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;8.000,00;8.000,00;8.000,00;0;0;0;0;0;0
;;1;21;92501;63500;2019/000227;2019/000227;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;54.558,31;54.558,31;54.558,31;0;0;0;0;0;0
;;1;21;92501;63500;2019/000227;2019/010227;EQUIPAMIENTO OFICINA AUXILIAR ATENCIÓN AL CIUDADANO LÍNEA MADRID ARAVACA;209;MONCLOA-ARAVACA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;918,56;918,56;0;199,82;718,74;718,74;718,74;0;0
;;1;21;92501;63500;2019/000227;2019/020227;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID BARAJAS;221;BARAJAS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;;;;;;;0;459,28;459,28;0;99,91;359,37;359,37;359,37;0;0
