Año,Mes,Descripcion Centro,Organismo,Numero Contrato,Numero Expediente,Descripcion Contrato,Tipo Contrato,Procedimiento Adjudicacion,Articulo,Apartado,Criterios Adjudicacion,Presupuesto Total(IVA Incluido),Importe Adjudicacion (IVA Incluido),Plazo,Fecha Adjudicacion,Nombre/Razon Social,NIF/CIF Adjudicatario,Fecha Formalizacion,Tiene acuerdo Marco,Tiene ingreso/coste cero,Adjudicado por precios unitarios
2020,Junio,Ayuntamiento De Madrid,Rea De Gobierno De Medio Ambiente Y Movilidad,202000672,300/2019/00426,contrato de servicios para la elaboracion y actualizacion del inventario de emisiones contaminantes a la atmosfera y del balance energetico del termino municipal de madrid,Servicios,Abierto,,,Pluralidad de criterios,395670.0,336319.5,48,2020-02-27T00:00:00Z,Fundacion Para El Fomento De La Innovacion Industrial,G80455231,2020-05-31T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000673,300/2019/00676,adquisicion de diversas prendas y articulos de uniformidad con destino al cuerpo de policia municipal del ayuntamiento de  madrid. lote 2,Suministro,Abierto,,,Un unico criterio,292820.0,292820.0,2.2,2020-03-03T00:00:00Z,Climb Wear S.L.,B84305093,2020-03-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000674,300/2019/00676,adquisicion de diversas prendas y articulos de uniformidad con destino al cuerpo de policia municipal del ayuntamiento de  madrid. lote 3,Suministro,Abierto,,,Un unico criterio,191664.0,191664.0,2.2,2020-03-03T00:00:00Z,"Tomas Bodero, S.A.",A09038977,2020-03-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000675,300/2019/00676,adquisicion de diversas prendas y articulos de uniformidad con destino al cuerpo de policia municipal del ayuntamiento de  madrid. lote 4,Suministro,Abierto,,,Un unico criterio,1082320.8,1082320.8,2.2,2020-03-03T00:00:00Z,El Corte Ingles S A,A28017895,2020-06-06T00:00:00Z,false,false,false
2020,Junio,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000676,MDC/2020/00051,"suministro en regimen de adquisicion , de equipos informaticos de alto rendimiento para la edicion  y postproduccion de video profesional para la sociedad mercantil municipal madrid destino cultura turismo y negoico, s.a.",Suministro,Abierto simplificado,,,Pluralidad de criterios,50820.0,50585.05,25,2020-10-02T00:00:00Z,Asseco Spain Sa,A79986006,2020-02-20T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Rea De Gobierno De Familias, Igualdad Y Bienestar Social",202000677,300/2019/00863,"""desarrollo del proyecto transversal en el ambito de la corresponsabilidad y conciliacion"".",Servicios,Abierto,,,Pluralidad de criterios,680707.24,626170.82,24,2020-03-26T00:00:00Z,Dinamia Soc. Coop. Mad.,F83961482,2020-05-19T00:00:00Z,false,false,false
2020,Junio,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000678,MDC/2020/00049,"suministro e instalacion del segundo lote de pantallas de proteccion para el personal de madrid destino, debido a la crisis del covid-19. tramitacion emergencia",Suministro,Tramitacon Emergencia,,,,6963.61,6963.61,2.66,2020-01-02T00:00:00Z,"Garsansianor, S.L.",B95108106,2020-03-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Chamartin,202000679,105/2020/01193,elaboracion de menus y su distribucion en el domicilio de las personas en situacion o riesgo de exclusion social y mayores como consecuencia del cierre de los centros municipales de mayores en el distrito de chamartin con el fin de que puedan tener una alimentacion basica. emergencia.,Suministro,Tramitacon Emergencia,,,,9500.0,9500.0,0.76,2020-04-17T00:00:00Z,Comedores Bedmar; Sl.,B80232572,2020-04-21T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000680,EMT/2019/00142,suministro de material informatico,Suministro,Abierto,,,Pluralidad de criterios,259859.6,205274.68,0.5,2020-11-05T00:00:00Z,"Teknoservice, S.L.",B41485228,2020-09-06T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000681,CCV/2019/00995,"servicio de asesoria juridica en materia de licencias y normas urbanisticas para el ccvm, sa",Servicios,Abierto,,,Pluralidad de criterios,43560.0,26136.0,36,2020-07-02T00:00:00Z,"G Cueto Legal, S.L.",B85173961,2020-11-02T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000682,EMT/2019/00097,riesgos psicosociales del puesto de trabajo de conductor de autobus de emt madrid,Servicios,Abierto simplificado,,,Pluralidad de criterios,35928.53,32241.95,12,2020-02-13T00:00:00Z,"Agora , Ingenieria, Servicios Y Prevencion Sl",B85596914,2020-09-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De San Blas-canillejas,202000683,117/2020/00999,"contrato de emergencia para el suministro para la adquisicion de 35 pantallas, 10 paneles de proteccion, 1 pantalla con sujecion al techo para el mostrador y 8 columnas de division (2 ud) para los centros de servicios sociales torre arias y pablo casals del distrito, transporte e instalacion incluido.",Suministro,Tramitacon Emergencia,,,,8532.92,8532.92,0.66,2020-05-28T00:00:00Z,"Mobiliar, Sl",B78118106,2020-01-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De San Blas-canillejas,202000684,117/2020/01075,"contrato de emergencia para suministro y montaje de equipos de proteccion colectiva a los trabajadores municipales en la sede de la junta municipal del distrito de san blas-canillejas, como consecuencia de las medidas extraordinarias adoptadas tendentes a la contencion del covid-19",Suministro,Tramitacon Emergencia,,,,15712.31,15712.31,0.23,2020-03-06T00:00:00Z,Clece S.A,A80364243,2020-05-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Rea De Gobierno De Medio Ambiente Y Movilidad,202000685,131/2020/12404,servicio de desinfeccion de la via publica en madrid mediante nebulizacion con hipoclorito (emergencia),Servicios,Tramitacon Emergencia,,,,77880.0,77880.0,2,2020-04-05T00:00:00Z,"Tryob Obras Y Servicios, S.L.",B84952985,2020-11-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Informtica Ayuntamiento De Madrid,202000686,NRC/2019/00003,"la enajenacion con destruccion confidencial del papel y carton calificable exclusivamente como papelote y, consiguientemente, como material inservible generado como consecuencia de los trabajos que se desarrollan en iam. ingreso",Servicios,Abierto,,,Un unico criterio,3780.0,10920.0,60,2020-03-19T00:00:00Z,"S. Solis, S.A.",A78962594,2020-03-31T00:00:00Z,false,true,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000687,EMT/2019/00145,suministro de material de repuesto de la marca knorr-bremse mediante descuento sobre la tarifa oficial vigente,Suministro,Abierto,,,Un unico criterio,169400.0,169400.0,12,2020-06-02T00:00:00Z,"Recambios Barreiro, S.L.",B15060106,2020-06-18T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Agencia Para El Empleo De Madrid,202000688,300/2018/02114,contrato de servicio de consultoria para la definicion de los requisitos tecnicos que debera cumplir la plataforma web que sustente el nuevo sistema de gestion de la agencia para el empleo y que permita el desarrollo o adquisicion posterior de dicho sistema.,Servicios,Abierto,,,Pluralidad de criterios,84700.0,55902.0,2.3,2020-02-03T00:00:00Z,"Everis Spain, S.L.",B82387770,2020-12-03T00:00:00Z,false,false,false
