Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Churwell  ,Electricity - 10012144,"£2,408.73","£2,292.31","17,184","11,959"
Primary School - Clapgate  ,Electricity - 10002639,"£18,530.38","£18,636.87","154,653","143,667"
Primary School - Cobden  ,Electricity - 10002647,"£11,999.87","£12,491.67","98,262","90,434"
Primary School - Colton  ,Electricity - 10012113,"£9,241.59","£8,843.30","80,315","76,025"
Primary School - Corpus Christi Roman Catholic  ,Electricity - 10008642,"£7,421.10","£9,096.79","67,540","85,071"
Primary School - Cross Gates  ,Electricity - 10012156,"£10,526.33","£9,863.12","83,599","70,021"
Primary School - Crossley Street   ,Electricity - 10002407,"£11,162.26","£10,573.79","96,430","84,657"
Primary School - Deighton Gates  ,Electricity - 10008483,"£3,712.50","£1,502.99","19,124","11,482"
Primary School - Deighton Gates  ,Electricity - 10140792,"£3,881.11","£1,669.28","28,684","12,564"
Primary School - Deighton Gates  ,Electricity - 10008485,"£2,426.98","£2,258.92","17,501","17,191"
Primary School - Deighton Gates  ,Electricity - 10009021,"£1,316.95","£1,539.48","14,614","18,017"
Primary School - Deighton Gates  ,Electricity - 10140790,£402.84,£80.16,"5,037",966
Primary School - Drighlington   ,Electricity - 10140920,"£1,959.37","£1,974.10","14,234","14,817"
Primary School - Drighlington   ,Electricity - 10012064,"£12,275.25","£12,011.08","86,676","86,755"
Primary School - Ebor Gardens  ,Electricity - S45839836,"£21,689.60",,"159,302",
Primary School - Farsley Farfield  ,Electricity - 10007637,"£5,304.49","£8,514.62","38,483","64,535"
Primary School - Farsley Farfield  ,Electricity - 10140722,"£1,842.15","£1,871.58","13,136","13,970"
Primary School - Farsley Farfield  ,Electricity - 10008931,£44.05,£126.50,362,"1,244"
Primary School - Farsley Farfield  ,Electricity - 10012192,"£19,376.86","£15,467.08","117,204","114,641"
Primary School - Farsley Springbank Junior  ,Electricity - 10002423,"£18,933.99","£15,254.49","150,474","119,860"
Primary School - Farsley Westroyd Primary and Nursery  ,Electricity - 10127440,"£6,990.45","£7,075.54","51,044","51,855"
Primary School - Farsley Westroyd Primary and Nursery  ,Electricity - 10007554,"£1,253.88","£2,993.01","10,741","23,277"
Primary School - Fieldhead Carr  ,Electricity - 10012126,"£10,039.16","£9,802.88","79,904","72,224"
Primary School - Fountain  ,Electricity - 10140758,"£4,645.61","£2,522.71","34,909","19,324"
Primary School - Fountain  ,Electricity - 10012147,"£10,220.59","£9,949.02","80,124","70,753"
Primary School - Gildersome  ,Electricity - 10002616,"£15,939.47","£16,376.31","129,719","124,192"
Primary School - Gledhow  ,Electricity - 10012065,"£22,147.42","£27,383.85","164,657","216,669"
Primary School - Grange Farm  ,Electricity - 10012116,"£17,314.74","£15,861.41","140,267","117,202"
Primary School - Great Preston Church of England  ,Electricity - 10002421,"£13,742.33","£12,152.06","128,207","113,474"
Primary School - Greenhill  ,Electricity - 10002595,"£18,937.98","£18,844.76","155,383","142,270"
