Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Woodlesford  ,Electricity - 10008168,£416.06,£353.91,"3,319","2,893"
Primary School - Woodlesford  ,Electricity - 10004524,"£13,460.10","£16,096.04","102,726","102,428"
Primary School - Wykebeck  ,Electricity - 10012109,"£15,091.95","£13,794.84","120,645","101,261"
Primary School - Yeadon Westfield Infants  ,Electricity - 10008918,£498.49,£581.88,"6,566","7,349"
Primary School - Yeadon Westfield Infants  ,Electricity - 10140420,"£4,089.19","£1,699.89","29,703","13,179"
Primary School - Yeadon Westfield Infants  ,Electricity - 10140710,"£1,414.84",£722.93,"11,512","5,500"
Primary School - Yeadon Westfield Infants  ,Electricity - 10007516,"£5,414.71","£4,981.43","39,469","38,338"
Primary School - Yeadon Westfield Juniors  ,Electricity - 10008919,"£2,257.54","£2,117.69","16,602","16,568"
Primary School - Yeadon Westfield Juniors  ,Electricity - 10008920,"£8,338.43","£7,694.27","63,581","60,117"
Schools - PFI Primary School - Cookridge  ,Electricity - 10005083,"£6,893.44","£19,751.23","63,973","167,319"
Schools - PFI Primary School - East Ardsley  ,Electricity - 10005084,"£8,955.31","£20,416.99","75,348","149,746"
Schools - PFI Primary School - Kippax Ash Tree  ,Electricity - 10131611,"£8,343.86","£17,819.01","68,267","133,864"
Schools - PFI Primary School - Lower Wortley  ,Electricity - 10005077,"£9,986.00","£23,903.75","82,439","174,432"
Schools - PFI Primary School - Methley  ,Electricity - 10005078,"£10,099.47","£24,608.79","84,730","179,001"
Schools - PFI Primary School - Pudsey Bolton Royd  ,Electricity - 10005079,"£9,755.21","£25,607.65","78,602","185,253"
Schools - PFI Primary School - Rawdon Littlemoor  ,Electricity - 10005076,"£8,711.60","£22,026.91","68,092","157,088"
Schools - PFI Primary School - Rothwell Primary & Nursery  ,Electricity - 10005081,"£9,387.36","£22,088.66","76,597","160,808"
Schools - PFI Primary School - Rufford Park  ,Electricity - 10005080,"£8,095.88","£21,345.70","64,827","150,265"
Schools - PFI Primary School - St Margarets Church of England  ,Electricity - 10005082,"-£1,203.67","£44,878.22","86,068","151,821"
Secondary School - Benton Park High  ,Electricity - 10002371,"£78,944.73","£75,445.10","675,443","582,090"
Secondary School - Boston Spa  ,Electricity - 10002528,"£77,758.15","£68,202.53","689,665","561,283"
Secondary School - Brigshaw High and Language College  ,Electricity - 10002372,"£94,689.71","£32,375.09","899,328","315,748"
Secondary School - Bruntcliffe High  ,Electricity - S36831579,£335.89,,"2,629",
Secondary School - Bruntcliffe High  ,Electricity - S19636301,"£27,948.06",,"222,214",
Secondary School - Bruntcliffe High  ,Electricity - S36882436,£874.34,,"5,527",
Secondary School - Cockburn High and South Leeds City Learning Centre  ,Electricity - S14033404,"£99,641.31",,"974,062",
Secondary School - Corpus Christi Roman Catholic College  ,Electricity - 10002637,"£58,526.17","£47,347.05","557,045","419,087"
Secondary School - Education Business Partnership - Swallow Crescent  ,Electricity - 10007806,£498.46,£112.73,"3,852",958
Secondary School - Guiseley   ,Electricity - 10002381,"£59,726.72","£58,932.02","520,657","464,762"
Secondary School - Leeds West City Learning Centre  ,Electricity - 10002399,"£8,333.91","£7,936.52","68,035","61,362"
Secondary School - Mount St Marys Roman Catholic High  ,Electricity - 10002664,"£56,859.18","£52,977.70","533,856","495,891"
Secondary School - North East City Learning Centre  ,Electricity - 10002403,"£10,186.90","£10,885.55","86,078","83,441"
Secondary School - Priesthorpe Sports Specialist College  ,Electricity - 10002477,"£84,934.38","£76,661.95","801,413","692,425"
Secondary School - Roundhay Secondary  ,Electricity - 10140051,,£102.76,,0
Secondary School - Royds Specialist Language College  ,Electricity - 10002389,"£53,674.04","£44,393.86","515,474","405,657"
Secondary School - Royds Specialist Language College  ,Electricity - 10008902,£236.74,£384.50,"1,620","3,186"
Secondary School - Temple Moor Science College  ,Electricity - 10002392,"£135,603.74","£119,392.41","1,282,079","1,129,384"
Secondary School - Temple Moor Science College  ,Electricity - 10008636,£308.01,£364.86,"2,321","2,997"
Secondary School - Temple Moor Science College - Educational Alternative Provision Centre  ,Electricity - 10008637,"£2,458.10","£2,298.40","21,966","21,063"
Secondary School - Wetherby High  ,Electricity - 10002394,"£51,425.36","£43,776.19","479,792","399,380"
Secondary School - Wetherby High  ,Electricity - 10012240,"£3,552.56","£2,976.33","27,754","22,167"
Specialist Inclusive Learning Centre - Broomfield Special School  ,Electricity - 10009057,"£7,851.35","£12,095.98","61,354","94,037"
Specialist Inclusive Learning Centre - Broomfield Special School  ,Electricity - 10008702,£275.87,£422.13,"2,140","3,372"
Specialist Inclusive Learning Centre - Broomfield Special School  ,Electricity - 10013923,"£4,575.55","£9,287.00","37,812","61,796"
Specialist Inclusive Learning Centre - East - John Jamieson School Centre (with pool)  ,Electricity - 10002433,"£32,207.99","£35,962.08","267,930","278,994"
Specialist Inclusive Learning Centre - Elmete Wood BESD   ,Electricity - 10002404,"£20,635.65","£6,661.30","178,740","53,740"
Specialist Inclusive Learning Centre - Elmete Wood BESD School - Stonegate  ,Electricity - 10008086,"£12,682.82","£2,957.80","93,553","23,324"
Specialist Inclusive Learning Centre - Grafton School  ,Electricity - 10008027,"£5,123.38","£4,122.45","36,325","31,639"
Specialist Inclusive Learning Centre - North East - West Oaks School - Boston Spa  ,Electricity - 10008506,"£9,703.85","£7,828.74","71,766","60,466"
Specialist Inclusive Learning Centre - North East - West Oaks School - Boston Spa  ,Electricity - 10008507,"£9,321.93","£9,557.31","69,778","73,371"
Specialist Inclusive Learning Centre - North East - West Oaks School - Oakwood Lane  ,Electricity - 10008460,"£11,231.89","£1,895.70","82,981","14,657"
Specialist Inclusive Learning Centre - North West - Green Meadows School (with pool) - Bradford Road  ,Electricity - 10007552,"£1,872.39","£1,586.98","13,782","12,235"
Specialist Inclusive Learning Centre - North West - Green Meadows School (with pool) - Bradford Road  ,Electricity - 10008933,"£11,190.69","£9,799.70","86,911","77,919"
Specialist Inclusive Learning Centre - North West - Green Meadows School - Back Lane  ,Electricity - 10007545,"£1,872.14","£4,639.83","13,731","35,770"
Specialist Inclusive Learning Centre - North West - Green Meadows School - Back Lane  ,Electricity - 10007546,"£5,362.68","£4,101.13","39,094","31,580"
Specialist Inclusive Learning Centre - North West - Green Meadows School - Back Lane  ,Electricity - 10140711,£245.10,£63.74,"1,459",720
Specialist Inclusive Learning Centre - North West - Penny Field School (with pool)   ,Electricity - 10012134,"£12,173.38","£10,962.73","98,665","80,830"
Specialist Inclusive Learning Centre - West - Milestone School (with pool)  ,Electricity - 10012256,"£33,463.56","£29,995.90","287,124","243,076"
,,,,,
