Economico,ingresos,Centro,Descripcion Centro,wikicentro,Capitulo,Descripcion Capitulo,Descripcion Economico,PREV.DEFINITIV,RECAUDADO
0180,180,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,5,INGRESOS PATRIMONIALES,OTROS INGRESOS PATRIMONIALES,715168,54572.76
0181,181,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,6,ENAJENACIÓN DE INVERSIONES REALES,VENTA DE PARCELAS,12016057,1.316922927E7
0182,182,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,6,ENAJENACIÓN DE INVERSIONES REALES,SUELO CEDIDO EN DERECHO DE SUPERFICIE,0,166524.76
0183,183,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,6,ENAJENACIÓN DE INVERSIONES REALES,REINTEGROS DE PAGOS DE EJERCICIOS CERRADOS,0,9911545.68
0184,184,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,7,TRANSFERENCIAS DE CAPITAL,DE ORGANISMOS AUTÓNOMOS DEL AYUNTAMIENTO DE MADRID,600000,100000
0185,185,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,7,TRANSFERENCIAS DE CAPITAL,TRANSFERENCIAS EN CUMPLIMIENTO DE CONVENIOS,300000,584000
0186,186,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,7,TRANSFERENCIAS DE CAPITAL,OTRAS TRANSFERENCIAS DEL FEDER,604941.87,0
0187,187,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,7,TRANSFERENCIAS DE CAPITAL,PROGRAMA LIFE-SURE,0,32799.23
0188,188,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,8,ACTIVOS FINANCIEROS,PARA GASTOS GENERALES,1159220055,0
0189,189,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,8,ACTIVOS FINANCIEROS,PARA GASTOS CON FINANCIACIÓN AFECTADA,2.06189812E7,0
0190,190,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,3,TASAS Y OTROS INGRESOS,VENTA DE EFECTOS INÚTILES,5000,4496.8
0191,191,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,3,TASAS Y OTROS INGRESOS,PAGOS DE  EJERCICIOS ANTERIORES,52000,151267.93
0192,192,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,3,TASAS Y OTROS INGRESOS,IMPORTE ANUNCIOS A CARGO DE PARTICULARES,0,750.78
0193,193,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID,8.34306313E7,6.831218006E7
0194,194,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,DE UNIVERSIDADES PÚBLICAS,0,24794.51
0195,195,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,7,TRANSFERENCIAS DE CAPITAL,DE LA ADMINISTRACIÓN GENERAL AYUNTAMIENTO MADRID,12371624,3206286.37
0196,196,501,INFORMÁTICA DEL AYUNTAMIENTO DE MADRID,,8,ACTIVOS FINANCIEROS,PARA GASTOS GENERALES,1138245.69,0
0197,197,503,AGENCIA PARA EL EMPLEO DE MADRID,,3,TASAS Y OTROS INGRESOS,PAGOS DE  EJERCICIOS ANTERIORES,0,14447.77
0198,198,503,AGENCIA PARA EL EMPLEO DE MADRID,,3,TASAS Y OTROS INGRESOS,INTERESES DE DEMORA,0,240.65
0199,199,503,AGENCIA PARA EL EMPLEO DE MADRID,,3,TASAS Y OTROS INGRESOS,INDEMNIZACIONES DE SEGUROS DE NO VIDA,0,6745.02
0200,200,503,AGENCIA PARA EL EMPLEO DE MADRID,,3,TASAS Y OTROS INGRESOS,OTROS INGRESOS DIVERSOS,0,222.58
0201,201,503,AGENCIA PARA EL EMPLEO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID,37275379,2.447306675E7
0202,202,503,AGENCIA PARA EL EMPLEO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,C. DE MADRID. FORMACIÓN PROFESIONAL PARA EL EMPLEO,0,-40438.47
0203,203,503,AGENCIA PARA EL EMPLEO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,C. DE MADRID. PROGRAMAS DE EMPLEO,1.67089322E7,1.439059434E7
0204,204,503,AGENCIA PARA EL EMPLEO DE MADRID,,4,TRANSFERENCIAS CORRIENTES,DE OTROS PROGRAMAS DE LA UNIÓN EUROPEA,115040.49,137001.46
0205,205,503,AGENCIA PARA EL EMPLEO DE MADRID,,5,INGRESOS PATRIMONIALES,CANON MÁQUINAS VENDING EN INST.MUNICIPALES,4786,9572
0206,206,503,AGENCIA PARA EL EMPLEO DE MADRID,,7,TRANSFERENCIAS DE CAPITAL,DE LA ADMINISTRACIÓN GENERAL AYUNTAMIENTO MADRID,376398,0
0207,207,503,AGENCIA PARA EL EMPLEO DE MADRID,,8,ACTIVOS FINANCIEROS,PARA GASTOS CON FINANCIACIÓN AFECTADA,8827247.53,0
0208,208,506,AGENCIA TRIBUTARIA  MADRID,,3,TASAS Y OTROS INGRESOS,"COPIAS, FOTOCOPIAS Y FOTOGRAFÍAS",2000,2770.81
0209,209,506,AGENCIA TRIBUTARIA  MADRID,,3,TASAS Y OTROS INGRESOS,PAGOS DE  EJERCICIOS ANTERIORES,0,46530.13
0210,210,506,AGENCIA TRIBUTARIA  MADRID,,3,TASAS Y OTROS INGRESOS,OTRAS MULTAS Y SANCIONES,0,7155.5
0211,211,506,AGENCIA TRIBUTARIA  MADRID,,3,TASAS Y OTROS INGRESOS,INDEMNIZACIONES DE SEGUROS DE NO VIDA,0,169.4
0212,212,506,AGENCIA TRIBUTARIA  MADRID,,3,TASAS Y OTROS INGRESOS,OTROS INGRESOS DIVERSOS,0,397345.55
0213,213,506,AGENCIA TRIBUTARIA  MADRID,,4,TRANSFERENCIAS CORRIENTES,DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID,58216739,5.221965409E7
0214,214,506,AGENCIA TRIBUTARIA  MADRID,,5,INGRESOS PATRIMONIALES,CANON MÁQUINAS VENDING EN INST.MUNICIPALES,6655,5935.66
0215,215,506,AGENCIA TRIBUTARIA  MADRID,,7,TRANSFERENCIAS DE CAPITAL,DE LA ADMINISTRACIÓN GENERAL AYUNTAMIENTO MADRID,123800,0
0216,216,508,Madrid Salud,https://www.wikidata.org/wiki/Q5989438,3,TASAS Y OTROS INGRESOS,PAGOS DE  EJERCICIOS ANTERIORES,0,14556.6
0217,217,508,Madrid Salud,https://www.wikidata.org/wiki/Q5989438,3,TASAS Y OTROS INGRESOS,OTROS INGRESOS DIVERSOS,0,1090.51
0218,218,508,Madrid Salud,https://www.wikidata.org/wiki/Q5989438,4,TRANSFERENCIAS CORRIENTES,DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID,8.651147631E7,7.738129575E7
0219,219,508,Madrid Salud,https://www.wikidata.org/wiki/Q5989438,7,TRANSFERENCIAS DE CAPITAL,DE LA ADMINISTRACIÓN GENERAL AYUNTAMIENTO MADRID,1820770,1433150
0220,220,508,Madrid Salud,https://www.wikidata.org/wiki/Q5989438,8,ACTIVOS FINANCIEROS,PARA GASTOS CON FINANCIACIÓN AFECTADA,427991.44,0
0221,221,509,AGENCIA DE ACTIVIDADES,,4,TRANSFERENCIAS CORRIENTES,DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID,14130385,1.30264975E7
0222,222,902,CONSOR. PLAN REHAB.EQUIP.TEATROS MADRID,,7,TRANSFERENCIAS DE CAPITAL,DE LA ADMINISTRACIÓN GENERAL AYUNTAMIENTO MADRID,125000,125000
0223,223,902,CONSOR. PLAN REHAB.EQUIP.TEATROS MADRID,,7,TRANSFERENCIAS DE CAPITAL,DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS,125000,125000
0224,224,902,CONSOR. PLAN REHAB.EQUIP.TEATROS MADRID,,7,TRANSFERENCIAS DE CAPITAL,OTRAS TRANSFERENCIAS DE LA COMUNIDAD DE MADRID,125000,0
0225,225,902,CONSOR. PLAN REHAB.EQUIP.TEATROS MADRID,,8,ACTIVOS FINANCIEROS,PARA GASTOS CON FINANCIACIÓN AFECTADA,680233.14,0
